composition,temperature,NComp,mean_Number,maxdiff_Number,dev_Number,min_Number,most_Number,mean_MendeleevNumber,maxdiff_MendeleevNumber,dev_MendeleevNumber,max_MendeleevNumber,most_MendeleevNumber,maxdiff_MeltingT,dev_MeltingT,max_MeltingT,maxdiff_Column,dev_Column,maxdiff_Row,dev_Row,mean_Electronegativity,maxdiff_NsValence,dev_NpValence,maxdiff_NdValence,dev_NdValence,max_NdValence,mean_NfValence,most_NfValence,mean_NValance,maxdiff_NValance,min_NValance,most_NValance,mean_NpUnfilled,maxdiff_NpUnfilled,most_NpUnfilled,mean_NdUnfilled,maxdiff_NdUnfilled,dev_NdUnfilled,mean_NfUnfilled,mean_NUnfilled,maxdiff_NUnfilled,dev_NUnfilled,min_NUnfilled,mean_GSvolume_pa,maxdiff_GSvolume_pa,dev_GSvolume_pa,min_GSvolume_pa,most_GSvolume_pa,most_GSbandgap,max_SpaceGroupNumber,CanFormIonic,thermal_conductivity
Hf0.2Zr0.2Ta0.2Nb0.2Ti0.2C,302.65,6,27.8,67,22.96,6,6.0,61.2,34,15.8,77,77.0,1882.0,673.4,3823.0,10,4.8,4,1.6,2.002,1,1.0,4,1.3,4,2.8,0.0,7.0,15,4,4.0,2.0,4,4.0,3.7,8,3.7,0.0,5.8,4,1.8,4,12.6585,17.555,7.0185,5.64,5.64,4.496,229,1,6.45
Hf0.2Zr0.2Ta0.2Nb0.2Ti0.2C,323.85,6,27.8,67,22.96,6,6.0,61.2,34,15.8,77,77.0,1882.0,673.4,3823.0,10,4.8,4,1.6,2.002,1,1.0,4,1.3,4,2.8,0.0,7.0,15,4,4.0,2.0,4,4.0,3.7,8,3.7,0.0,5.8,4,1.8,4,12.6585,17.555,7.0185,5.64,5.64,4.496,229,1,5.56
Hf0.2Zr0.2Ta0.2Nb0.2Ti0.2C,343.95,6,27.8,67,22.96,6,6.0,61.2,34,15.8,77,77.0,1882.0,673.4,3823.0,10,4.8,4,1.6,2.002,1,1.0,4,1.3,4,2.8,0.0,7.0,15,4,4.0,2.0,4,4.0,3.7,8,3.7,0.0,5.8,4,1.8,4,12.6585,17.555,7.0185,5.64,5.64,4.496,229,1,5.42
HfC,298.15,2,39.0,66,33.0,6,39.0,61.0,32,16.0,77,61.0,1317.0,658.5,3823.0,10,5.0,4,2.0,1.925,0,1.0,2,1.0,2,7.0,7.0,11.0,14,4,11.0,2.0,4,2.0,4.0,8,4.0,0.0,6.0,4,2.0,4,13.92,16.56,8.28,5.64,13.92,2.248,194,1,29.3
NbC,298.15,2,23.5,35,17.5,6,23.5,62.0,30,15.0,77,62.0,1073.0,536.5,3823.0,9,4.5,3,1.5,2.075,1,1.0,4,2.0,4,0.0,0.0,4.5,1,4,4.5,2.0,4,2.0,3.0,6,3.0,0.0,5.5,3,1.5,4,11.91,12.54,6.27,5.64,11.91,2.248,229,0,6.3
TiC,298.15,2,14.0,16,8.0,6,14.0,60.0,34,17.0,77,60.0,1882.0,941.0,3823.0,10,5.0,2,1.0,2.045,0,1.0,2,1.0,2,0.0,0.0,4.0,0,4,4.0,2.0,4,2.0,4.0,8,4.0,0.0,6.0,4,2.0,4,11.165,11.05,5.525,5.64,11.165,2.248,194,1,22.2
Y2SiO7,298.0,3,14.8,31,9.68,8,8.0,71.1,75,23.64,87,87.0,1744.2,716.884,1799.0,13,4.08,3,0.98,2.842,0,1.4,1,0.32,1,0.0,0.0,5.2,3,3,6.0,1.8,4,2.0,1.8,9,2.88,0.0,3.6,7,2.24,2,14.8905,23.26,8.0997,9.105,9.105,0.0,227,0,4.31
Nd0.8Sm0.8Eu0.8Y0.8Yb0.8Al2O9,298.15,7,22.21333333,62,19.51288889,8,8.0,68.22666667,75,23.80088889,87,87.0,1744.2,547.0512,1799.0,13,4.871111111,4,1.415111111,2.597333333,0,1.76,1,0.100977778,1,1.653333333,0.0,6.24,13,3,6.0,1.866666667,5,2.0,0.48,9,0.9088,1.333333333,3.68,10,2.408533333,0,16.77953333,27.355,9.289315556,9.105,9.105,0.0,229,1,1.5
Y4Al2O9,298.15,3,16.93333333,31,11.76888889,8,8.0,65.13333333,75,28.33777778,87,87.0,1744.2,698.7312,1799.0,13,4.871111111,3,1.12,2.604,0,1.76,1,0.391111111,1,0.0,0.0,4.8,3,3,6.0,1.866666667,5,2.0,2.4,9,3.52,0.0,4.266666667,7,2.72,2,16.291,23.26,8.6232,9.105,9.105,0.0,225,1,3.31
ZrB2,298.15,2,16.66666667,35,15.55555556,5,5.0,62.66666667,28,12.44444444,72,72.0,220.0,97.77777778,2348.0,9,4.0,3,1.333333333,1.803333333,0,0.444444444,2,0.888888889,2,0.0,0.0,3.333333333,1,3,3.0,3.333333333,5,5.0,2.666666667,8,3.555555556,0.0,6.0,3,1.333333333,5,12.51333333,16.0225,7.121111111,7.1725,7.1725,1.524,194,0,83.8
ZrB2,1500.15,2,16.66666667,35,15.55555556,5,5.0,62.66666667,28,12.44444444,72,72.0,220.0,97.77777778,2348.0,9,4.0,3,1.333333333,1.803333333,0,0.444444444,2,0.888888889,2,0.0,0.0,3.333333333,1,3,3.0,3.333333333,5,5.0,2.666666667,8,3.555555556,0.0,6.0,3,1.333333333,5,12.51333333,16.0225,7.121111111,7.1725,7.1725,1.524,194,0,81.8
ZrB2,298.15,2,16.66666667,35,15.55555556,5,5.0,62.66666667,28,12.44444444,72,72.0,220.0,97.77777778,2348.0,9,4.0,3,1.333333333,1.803333333,0,0.444444444,2,0.888888889,2,0.0,0.0,3.333333333,1,3,3.0,3.333333333,5,5.0,2.666666667,8,3.555555556,0.0,6.0,3,1.333333333,5,12.51333333,16.0225,7.121111111,7.1725,7.1725,1.524,194,0,56.0
Hf0.2Ta0.2Ti0.2Nb0.2Zr0.2C,298.15,6,27.8,67,22.96,6,6.0,61.2,34,15.8,77,77.0,1882.0,673.4,3823.0,10,4.8,4,1.6,2.002,1,1.0,4,1.3,4,2.8,0.0,7.0,15,4,4.0,2.0,4,4.0,3.7,8,3.7,0.0,5.8,4,1.8,4,12.6585,17.555,7.0185,5.64,5.64,4.496,229,1,5.6
