composition,thermal_conductivity,temperature,NComp,Comp_L2Norm,Comp_L3Norm,Comp_L5Norm,Comp_L7Norm,Comp_L10Norm,mean_Number,maxdiff_Number,dev_Number,max_Number,min_Number,most_Number,mean_MendeleevNumber,maxdiff_MendeleevNumber,dev_MendeleevNumber,max_MendeleevNumber,min_MendeleevNumber,most_MendeleevNumber,mean_AtomicWeight,maxdiff_AtomicWeight,dev_AtomicWeight,max_AtomicWeight,min_AtomicWeight,most_AtomicWeight,mean_MeltingT,maxdiff_MeltingT,dev_MeltingT,max_MeltingT,min_MeltingT,most_MeltingT,mean_Column,maxdiff_Column,dev_Column,max_Column,min_Column,most_Column,mean_Row,maxdiff_Row,dev_Row,max_Row,min_Row,most_Row,mean_CovalentRadius,maxdiff_CovalentRadius,dev_CovalentRadius,max_CovalentRadius,min_CovalentRadius,most_CovalentRadius,mean_Electronegativity,maxdiff_Electronegativity,dev_Electronegativity,max_Electronegativity,min_Electronegativity,most_Electronegativity,mean_NsValence,maxdiff_NsValence,dev_NsValence,max_NsValence,min_NsValence,most_NsValence,mean_NpValence,maxdiff_NpValence,dev_NpValence,max_NpValence,min_NpValence,most_NpValence,mean_NdValence,maxdiff_NdValence,dev_NdValence,max_NdValence,min_NdValence,most_NdValence,mean_NfValence,maxdiff_NfValence,dev_NfValence,max_NfValence,min_NfValence,most_NfValence,mean_NValance,maxdiff_NValance,dev_NValance,max_NValance,min_NValance,most_NValance,mean_NsUnfilled,maxdiff_NsUnfilled,dev_NsUnfilled,max_NsUnfilled,min_NsUnfilled,most_NsUnfilled,mean_NpUnfilled,maxdiff_NpUnfilled,dev_NpUnfilled,max_NpUnfilled,min_NpUnfilled,most_NpUnfilled,mean_NdUnfilled,maxdiff_NdUnfilled,dev_NdUnfilled,max_NdUnfilled,min_NdUnfilled,most_NdUnfilled,mean_NfUnfilled,maxdiff_NfUnfilled,dev_NfUnfilled,max_NfUnfilled,min_NfUnfilled,most_NfUnfilled,mean_NUnfilled,maxdiff_NUnfilled,dev_NUnfilled,max_NUnfilled,min_NUnfilled,most_NUnfilled,mean_GSvolume_pa,maxdiff_GSvolume_pa,dev_GSvolume_pa,max_GSvolume_pa,min_GSvolume_pa,most_GSvolume_pa,mean_GSbandgap,maxdiff_GSbandgap,dev_GSbandgap,max_GSbandgap,min_GSbandgap,most_GSbandgap,mean_GSmagmom,maxdiff_GSmagmom,dev_GSmagmom,max_GSmagmom,min_GSmagmom,most_GSmagmom,mean_SpaceGroupNumber,maxdiff_SpaceGroupNumber,dev_SpaceGroupNumber,max_SpaceGroupNumber,min_SpaceGroupNumber,most_SpaceGroupNumber,frac_sValence,frac_pValence,frac_dValence,frac_fValence,CanFormIonic,MaxIonicChar,MeanIonicChar,Class
Hf0.2Zr0.2Ta0.2Nb0.2Ti0.2C,6.45,302.65,6,0.547722558,0.506579702,0.500159898,0.500004571,0.500000026,27.8,67,22.96,73,6,6,61.2,34,15.8,77,43,77,65.148876,168.93718,56.5945512,180.94788,12.0107,12.0107,3173,1882,673.4,3823,1941,3823,9.2,10,4.8,14,4,14,3.6,4,1.6,6,2,2,122.4,99,46.4,175,76,76,2.002,1.25,0.548,2.55,1.3,2.55,1.9,1,0.18,2,1,2,1,2,1,2,0,2,1.3,4,1.3,4,0,0,2.8,14,4.48,14,0,0,7,15,4.6,19,4,4,0.1,1,0.18,1,0,0,2,4,2,4,0,4,3.7,8,3.7,8,0,0,0,0,0,0,0,0,5.8,4,1.8,8,4,4,12.6585,17.555,7.0185,23.195,5.64,5.64,2.248,4.496,2.248,4.496,0,4.496,2.25E-06,2.25E-05,4.06E-06,2.25E-05,0,0,201,35,11.2,229,194,194,0.271428571,0.142857143,0.185714286,0.4,1,0.323366154,0.131941697,None
Hf0.2Zr0.2Ta0.2Nb0.2Ti0.2C,5.56,323.85,6,0.547722558,0.506579702,0.500159898,0.500004571,0.500000026,27.8,67,22.96,73,6,6,61.2,34,15.8,77,43,77,65.148876,168.93718,56.5945512,180.94788,12.0107,12.0107,3173,1882,673.4,3823,1941,3823,9.2,10,4.8,14,4,14,3.6,4,1.6,6,2,2,122.4,99,46.4,175,76,76,2.002,1.25,0.548,2.55,1.3,2.55,1.9,1,0.18,2,1,2,1,2,1,2,0,2,1.3,4,1.3,4,0,0,2.8,14,4.48,14,0,0,7,15,4.6,19,4,4,0.1,1,0.18,1,0,0,2,4,2,4,0,4,3.7,8,3.7,8,0,0,0,0,0,0,0,0,5.8,4,1.8,8,4,4,12.6585,17.555,7.0185,23.195,5.64,5.64,2.248,4.496,2.248,4.496,0,4.496,2.25E-06,2.25E-05,4.06E-06,2.25E-05,0,0,201,35,11.2,229,194,194,0.271428571,0.142857143,0.185714286,0.4,1,0.323366154,0.131941697,None
Hf0.2Zr0.2Ta0.2Nb0.2Ti0.2C,5.42,343.95,6,0.547722558,0.506579702,0.500159898,0.500004571,0.500000026,27.8,67,22.96,73,6,6,61.2,34,15.8,77,43,77,65.148876,168.93718,56.5945512,180.94788,12.0107,12.0107,3173,1882,673.4,3823,1941,3823,9.2,10,4.8,14,4,14,3.6,4,1.6,6,2,2,122.4,99,46.4,175,76,76,2.002,1.25,0.548,2.55,1.3,2.55,1.9,1,0.18,2,1,2,1,2,1,2,0,2,1.3,4,1.3,4,0,0,2.8,14,4.48,14,0,0,7,15,4.6,19,4,4,0.1,1,0.18,1,0,0,2,4,2,4,0,4,3.7,8,3.7,8,0,0,0,0,0,0,0,0,5.8,4,1.8,8,4,4,12.6585,17.555,7.0185,23.195,5.64,5.64,2.248,4.496,2.248,4.496,0,4.496,2.25E-06,2.25E-05,4.06E-06,2.25E-05,0,0,201,35,11.2,229,194,194,0.271428571,0.142857143,0.185714286,0.4,1,0.323366154,0.131941697,None
HfC,29.3,298.15,2,0.707106781,0.629960525,0.574349177,0.552044757,0.535886731,39,66,33,72,6,39,61,32,16,77,45,61,95.25035,166.4793,83.23965,178.49,12.0107,95.25035,3164.5,1317,658.5,3823,2506,3164.5,9,10,5,14,4,9,4,4,2,6,2,4,125.5,99,49.5,175,76,125.5,1.925,1.25,0.625,2.55,1.3,1.925,2,0,0,2,2,2,1,2,1,2,0,1,1,2,1,2,0,1,7,14,7,14,0,7,11,14,7,18,4,11,0,0,0,0,0,0,2,4,2,4,0,2,4,8,4,8,0,4,0,0,0,0,0,0,6,4,2,8,4,6,13.92,16.56,8.28,22.2,5.64,13.92,2.248,4.496,2.248,4.496,0,2.248,0,0,0,0,0,0,194,0,0,194,194,194,0.181818182,0.090909091,0.090909091,0.636363636,1,0.323366154,0.161683077,None
NbC,6.3,298.15,2,0.707106781,0.629960525,0.574349177,0.552044757,0.535886731,23.5,35,17.5,41,6,23.5,62,30,15,77,47,62,52.45854,80.89568,40.44784,92.90638,12.0107,52.45854,3286.5,1073,536.5,3823,2750,3286.5,9.5,9,4.5,14,5,9.5,3.5,3,1.5,5,2,3.5,120,88,44,164,76,120,2.075,0.95,0.475,2.55,1.6,2.075,1.5,1,0.5,2,1,1.5,1,2,1,2,0,1,2,4,2,4,0,2,0,0,0,0,0,0,4.5,1,0.5,5,4,4.5,0.5,1,0.5,1,0,0.5,2,4,2,4,0,2,3,6,3,6,0,3,0,0,0,0,0,0,5.5,3,1.5,7,4,5.5,11.91,12.54,6.27,18.18,5.64,11.91,2.248,4.496,2.248,4.496,0,2.248,0,0,0,0,0,0,211.5,35,17.5,229,194,211.5,0.333333333,0.222222222,0.444444444,0,0,0.201982698,0.100991349,None
TiC,22.2,298.15,2,0.707106781,0.629960525,0.574349177,0.552044757,0.535886731,14,16,8,22,6,14,60,34,17,77,43,60,29.93885,35.8563,17.92815,47.867,12.0107,29.93885,2882,1882,941,3823,1941,2882,9,10,5,14,4,9,3,2,1,4,2,3,118,84,42,160,76,118,2.045,1.01,0.505,2.55,1.54,2.045,2,0,0,2,2,2,1,2,1,2,0,1,1,2,1,2,0,1,0,0,0,0,0,0,4,0,0,4,4,4,0,0,0,0,0,0,2,4,2,4,0,2,4,8,4,8,0,4,0,0,0,0,0,0,6,4,2,8,4,6,11.165,11.05,5.525,16.69,5.64,11.165,2.248,4.496,2.248,4.496,0,2.248,1.13E-05,2.25E-05,1.13E-05,2.25E-05,0,1.13E-05,194,0,0,194,194,194,0.5,0.25,0.25,0,1,0.225102875,0.112551437,None
Y2SiO7,4.31,298,3,0.734846923,0.706069667,0.70027467,0.700015663,0.700000254,14.8,31,9.68,39,8,8,71.1,75,23.64,87,12,87,31.7893,72.90645,22.84662,88.90585,15.9994,15.9994,566.86,1744.2,716.884,1799,54.8,54.8,13.2,13,4.08,16,3,16,2.7,3,0.98,5,2,2,95.3,124,41.02,190,66,66,2.842,2.22,0.8372,3.44,1.22,3.44,2,0,0,2,2,2,3,4,1.4,4,0,4,0.2,1,0.32,1,0,0,0,0,0,0,0,0,5.2,3,1.12,6,3,6,0,0,0,0,0,0,1.8,4,0.72,4,0,2,1.8,9,2.88,9,0,0,0,0,0,0,0,0,3.6,7,2.24,9,2,2,14.8905,23.26,8.0997,32.365,9.105,9.105,0.0773,0.773,0.13914,0.773,0,0,0,0,0,0,0,0,69.9,215,81.06,227,12,12,0.384615385,0.576923077,0.038461538,0,0,0.708320593,0.265315418,None
Nd0.8Sm0.8Eu0.8Y0.8Yb0.8Al2O9,1.5,298.15,7,0.626099034,0.602883242,0.600068345,0.600002313,0.600000018,22.21333333,62,19.51288889,70,8,8,68.22666667,75,23.80088889,87,12,87,50.98522381,157.0546,48.3839713,173.054,15.9994,15.9994,510.676,1744.2,547.0512,1799,54.8,54.8,12.13333333,13,4.871111111,16,3,16,3.146666667,4,1.415111111,6,2,2,107.68,135,50.016,201,66,66,2.597333333,2.3,1.0112,3.44,1.14,3.44,2,0,0,2,2,2,2.533333333,4,1.76,4,0,4,0.053333333,1,0.100977778,1,0,0,1.653333333,14,2.601244444,14,0,0,6.24,13,1.5232,16,3,6,0,0,0,0,0,0,1.866666667,5,0.995555556,5,0,2,0.48,9,0.9088,9,0,0,1.333333333,10,2.24,10,0,0,3.68,10,2.408533333,10,0,2,16.77953333,27.355,9.289315556,36.46,9.105,9.105,0,0,0,0,0,0,0,0,0,0,0,0,90.96,217,94.752,229,12,12,0.320512821,0.405982906,0.008547009,0.264957265,1,0.733531702,0.322991162,None
Y4Al2O9,3.31,298.15,3,0.669991708,0.61913627,0.602130826,0.60029547,0.600018059,16.93333333,31,11.76888889,39,8,8,65.13333333,75,28.33777778,87,12,87,36.90540515,72.90645,27.73357059,88.90585,15.9994,15.9994,637.076,1744.2,698.7312,1799,54.8,54.8,12.13333333,13,4.871111111,16,3,16,2.933333333,3,1.12,5,2,2,106.4,124,48.48,190,66,66,2.604,2.22,1.0032,3.44,1.22,3.44,2,0,0,2,2,2,2.533333333,4,1.76,4,0,4,0.266666667,1,0.391111111,1,0,0,0,0,0,0,0,0,4.8,3,1.44,6,3,6,0,0,0,0,0,0,1.866666667,5,0.995555556,5,0,2,2.4,9,3.52,9,0,0,0,0,0,0,0,0,4.266666667,7,2.72,9,2,2,16.291,23.26,8.6232,32.365,9.105,9.105,0,0,0,0,0,0,0,0,0,0,0,0,88.93333333,213,92.32,225,12,12,0.416666667,0.527777778,0.055555556,0,1,0.708320593,0.320050196,None
ZrB2,83.8,298.15,2,0.745355992,0.693361274,0.670782206,0.667408235,0.666731742,16.66666667,35,15.55555556,40,5,5,62.66666667,28,12.44444444,72,44,72,37.61533333,80.413,35.73911111,91.224,10.811,10.811,2274.666667,220,97.77777778,2348,2128,2348,10,9,4,13,4,13,3,3,1.333333333,5,2,2,114.3333333,91,40.44444444,175,84,84,1.803333333,0.71,0.315555556,2.04,1.33,2.04,2,0,0,2,2,2,0.666666667,1,0.444444444,1,0,1,0.666666667,2,0.888888889,2,0,0,0,0,0,0,0,0,3.333333333,1,0.444444444,4,3,3,0,0,0,0,0,0,3.333333333,5,2.222222222,5,0,5,2.666666667,8,3.555555556,8,0,0,0,0,0,0,0,0,6,3,1.333333333,8,5,5,12.51333333,16.0225,7.121111111,23.195,7.1725,7.1725,1.016,1.524,0.677333333,1.524,0,1.524,0,0,0,0,0,0,175.3333333,28,12.44444444,194,166,166,0.6,0.2,0.2,0,0,0.118407193,0.052625419,None
