phase,Temperature,Temperature_based on model1,na,blsd,blnpv,d,epa,fepa
CaO,3177.533333,1676.631961,2,0,0.132358786,3.286687964,-6.438966535,-3.316402433
MgO,3098.65,1639.94061,2,0,0.194508347,3.471430968,-5.98371072,-3.062430027
ZrO2,2972.483333,2013.764086,3,0.350167774,0.190333245,5.563611317,-9.503488231,-3.823811042
SrZrO3,2873.15,2154.134181,5,0.10738822,0.097604713,5.252253718,-8.266261176,-3.671425518
BeO,2851.15,1545.344172,2,1.06E-05,0.250073888,2.967498763,-7.103041638,-3.110502471
CaZrO3,2823.15,2164.853679,5,0.053506856,0.093760816,4.46654005,-8.337411775,-3.68057982
ZrSiO4,2823.15,2078.030789,6,0.061546873,0.073582078,4.479509123,-8.728233694,-3.569274834
BaZrO3,2773.15,2093.550549,5,0.1708521,0.739546025,5.958155802,-8.288942678,-3.648209105
SrO,2703.15,1620.894633,2,0,0.106301827,4.877526424,-6.052317895,-3.084744534
MgCr2O4,2663.15,1593.67521,7,0.184662588,0.574506412,4.201084843,-9.268013476,-2.573299124
Cr2O3,2599.816667,1180.741817,5,0.15003643,0.129546267,4.904330425,-7.98478336,-2.381365091
Ca3SiO5,2423.15,1757.68664,9,0.064767849,0.310068534,3.057810042,-7.057127332,-3.429337754
Ca2SiO4,2403.15,1740.886796,7,0.068940022,0.073271519,2.890533661,-7.25953373,-3.487394015
MgAl2O4,2398.15,1844.397443,7,0.000122984,0.045830732,3.464623154,-7.107920978,-3.383533913
SrTiO3,2343.15,1788.907043,5,0.133444509,0.212143516,4.972062125,-8.02581312,-3.56150702
MgZrO3,2333.15,2234.591075,5,0,0.127451083,3.845387571,-7.428143098,-2.851824507
AlO3,2327.15,1621.346636,4,0,0.02947458,2.446523935,-5.720924954,-1.600281895
Al2O3,2314.15,1706.354184,5,0.041144758,0.106764232,3.873498339,-7.481357943,-3.43572833
BaO,2256.15,1587.105501,2,0,0.084736182,5.753123041,-5.913596095,-2.831277946
CaTiO3,2251.483333,1834.534081,5,0.091716279,0.13964674,3.940464343,-8.09288214,-3.566579743
ZnO,2247.65,1440.553157,2,9.61E-06,0.140792058,5.437864583,-4.55122248,-1.798659443
VO2,2240.15,1187.658862,3,0.001576963,0.161442149,4.446943636,-7.782192168,-2.484963132
V2O3,2218.816667,1232.539707,5,0.002369241,0.071521079,4.643588619,-8.03602955,-2.528487801
NbO,2210.15,1624.389946,2,0.196002114,0.400578247,7.010467016,-9.466932457,-2.293447202
NbO2,2174.65,1385.825155,3,0.154616232,0.025652339,5.675253089,-9.105356455,-2.907811129
Mg2SiO4,2170.65,1725.874819,7,0.031465265,0.096710787,3.11644027,-6.888826469,-3.231705845
BeAl2O4,2143.15,1850.771259,7,0.014460113,0.145118579,3.599681603,-7.392117873,-3.361656959
Ti2O3,2134.483333,1708.226841,5,0.027100211,0.088447536,4.52357834,-9.018213044,-3.312792627
Al2TiO5,2133.15,1868.260894,8,0.013225737,0.098630748,3.609657816,-8.027918089,-3.451101608
TiO2,2120.15,1683.66961,3,0.022366142,0.074979747,3.615940061,-8.974092661,-3.511964735
MnO,2113.816667,1481.955101,2,0,0.165209903,5.190708253,-7.856707145,-1.993446251
Mg2TiO4,2113.15,1847.523905,7,0.101959238,0.128683167,3.429076235,-7.301658511,-3.29144329
BaAl2O4,2100.15,1768.411233,7,0.359563169,0.131239752,3.938727139,-7.227287223,-3.456889456
CoO,2090.65,1499.45759,2,0,0.071980903,5.118013507,-6.150020009,-1.410028377
Al2SiO5,2089.15,1770.932232,8,0.018142216,0.082199335,3.050819942,-7.652488472,-3.384629764
CrPO4,2073.15,1085.75263,6,0.124362812,0.05370255,3.276462549,-7.615052909,-2.609053708
VO,2063.15,1558.612356,2,0,0.175286706,5.196116801,-7.912721298,-2.089710478
Ti3O5,2050.15,1694.129645,8,0.029062982,0.107135957,4.187247774,-9.003851273,-3.38966554
TiO,2013.15,1783.034403,2,0.00138323,0.588604007,5.06132625,-8.98618279,-2.915823636
SiO2,1995.15,1480.859723,3,0,0.042434981,2.116918417,-7.9162382,-3.277997669
SiO,1975.15,1640.560915,2,0.205381803,0.035246369,2.580199944,-6.890286246,-2.055758184
Ca3P2O8,1943.15,1633.48902,13,0.133495961,0.058267835,2.780985099,-7.243767661,-3.336822762
NaAlO2,1923.15,1502.595338,4,0.166684837,0.083323741,2.668605853,-6.33147466,-2.944192217
MgTi2O5,1918.15,1849.465232,8,0.016114782,0.088207966,3.551494261,-8.263312204,-3.436396086
BaTiO3,1898.15,1748.921931,5,0.155692515,0.250109132,5.696967708,-8.011706982,-3.501502967
LiAlO2,1898.15,1590.47568,4,0.01654314,0.086673367,2.5300524,-6.626988158,-3.090530753
CaWO4,1893.15,1627.041968,6,0.093977006,0.073273399,5.838608871,-7.320991049,-2.722782536
BaSiO3,1878.15,1592.382106,5,0.224733168,0.058369822,4.003531127,-7.429431392,-3.413559814
CaAl2O4,1878.15,1869.124065,7,0.125366469,0.056872238,2.842847095,-7.245913022,-3.464016412
SrSO4,1877.483333,1437.574566,6,0.239360289,0.084027145,3.796933167,-6.494883257,-2.804027758
Fe3O4,1870.15,1338.473242,7,0.205757656,0.090121646,4.94999305,-6.743186839,-1.858679269
MgTiO3,1860.65,1859.522986,5,0.114758001,0.088400243,3.780006602,-7.824705655,-3.378916622
BaSO4,1853.15,1375.998814,6,0.285539063,0.071294627,4.250832995,-6.557128369,-2.828024607
Mn3O4,1839.15,1095.143874,7,0.099029832,0.102747133,4.592823197,-7.69696494,-2.064789107
BaP2O6,1833.15,1418.562782,9,0.400656231,0.049342871,3.722038315,-7.238243401,-2.991628361
Be2SiO4,1833.15,1713.750175,7,7.29E-05,0.016697156,2.892192873,-7.454896271,-3.185627948
Fe2O3,1825.15,1298.76381,5,0.169003748,0.1273893,5.066847798,-6.74927644,-1.907358343
WO2,1823.15,1253.785466,3,0.001370904,0.133940588,9.601454846,-7.623599372,-1.924113569
Li2TiO3,1815.15,1627.482278,6,0.008471371,0.185358114,3.336254064,-7.064657864,-2.989675372
