element,a,M
H,0.67,1.9
He,0.6,1.73
Li,0.6,1.73
Be,0.6,1.73
B,0.6,1.73
C,0.6,1.73
N,0.6,1.73
O,0.6,1.73
F,0.6,1.73
Ne,0.54,1.64
Na,0.54,1.64
Mg,0.54,1.64
Al,0.54,1.64
Si,0.54,1.64
P,0.54,1.64
S,0.54,1.64
Cl,0.54,1.64
Ar,0.49,1.57
K,0.49,1.57
Ca,0.49,1.57
Sc,0.49,1.57
Ti,0.49,1.57
V,0.49,1.57
Cr,0.49,1.57
Mn,0.49,1.57
Fe,0.49,1.57
Co,0.49,1.57
Ni,0.6,1.5
Cu,0.6,1.5
Zn,0.6,1.5
Ga,0.6,1.5
Ge,0.6,1.5
As,0.6,1.5
Se,0.6,1.5
Br,0.6,1.5
Kr,0.49,1.57
Rb,0.49,1.57
Sr,0.49,1.57
Y,0.49,1.57
Zr,0.49,1.57
Nb,0.49,1.57
Mo,0.49,1.57
Tc,0.49,1.57
Ru,0.49,1.57
Rh,0.49,1.57
Pd,0.67,1.43
Ag,0.67,1.43
Cd,0.67,1.43
In,0.67,1.43
Sn,0.67,1.43
Sb,0.67,1.43
Te,0.67,1.43
I,0.67,1.43
Xe,0.49,1.57
Cs,0.49,1.57
Ba,0.49,1.57
La,0.49,1.57
Ce,0.49,1.57
Pr,0.49,1.57
Nd,0.49,1.57
Pm,0.49,1.57
Sm,0.49,1.57
Eu,0.49,1.57
Gd,0.49,1.57
Tb,0.49,1.57
Dy,0.49,1.57
Ho,0.49,1.57
Er,0.49,1.57
Tm,0.49,1.57
Yb,0.49,1.57
Lu,0.49,1.57
Hf,0.49,1.57
Ta,0.49,1.57
W,0.49,1.57
Re,0.49,1.57
Os,0.49,1.57
Ir,0.49,1.57
Pt,0.49,1.57
Au,0.49,1.57
Hg,0.49,1.57
Tl,0.49,1.57
Pb,0.49,1.57
Bi,0.49,1.57
Po,0.49,1.57
At,0.49,1.57
Rn,0.49,1.57
Fr,0.49,1.57
Ra,0.49,1.57
Ac,0.49,1.57
Th,0.49,1.57
Pa,0.49,1.57
U,0.49,1.57
Np,0.49,1.57
Pu,0.49,1.57
Am,0.49,1.57
Cm,0.49,1.57
Bk,0.49,1.57
Cf,0.49,1.57
Es,0.49,1.57
Fm,0.49,1.57
Md,0.49,1.57
No,0.49,1.57
Lr,0.49,1.57
Rf,0.49,1.57
Db,0.49,1.57
Sg,0.49,1.57
