element,valence,R1,N
H,1,0.87,2.2
Li,1,1.38,4.065
Be,2,1.38,4.065
B,3,1.38,4.065
C,4,1.38,4.065
Na,1,1.62,4.29
Mg,2,1.62,4.29
Al,3,1.62,4.29
Si,4,1.62,4.29
P,5,1.62,4.29
S,6,1.62,4.29
S,4,1.63,4.6
K,1,2.28,9.1
Ca,2,1.91,5.4
Sc,3,1.87,5.4
Ti,4,1.81,5.2
Ti,3,1.79,5.2
V,5,1.79,5.1
V,4,1.77,5.2
V,3,1.76,5.2
Cr,6,1.79,5
Cr,5,1.77,5.2
Cr,4,1.77,5.2
Cr,3,1.73,5.2
Mn,7,1.78,5.43
Mn,4,1.77,5.2
Mn,3,1.77,5.5
Mn,2,1.8,5.6
Fe,3,1.78,5.7
Fe,2,1.76,5.5
Co,4,1.77,5.7
Co,2,1.73,5.6
Ni,2,1.68,5.4
Cu,2,1.72,6
Zn,2,1.75,6.05
Ga,3,1.75,6.05
Ge,4,1.75,6.05
As,5,1.75,6.05
Se,6,1.78,5
Se,4,1.8,4
Rb,1,2.22,7
Sr,2,2.14,7
Y,3,2.07,7
Zr,4,1.95,6
Nb,5,1.91,5
Mo,6,1.88,6
Ag,1,1.95,7.4
Cd,2,1.99,7.4
In,3,1.96,7
Sn,4,1.96,8.1
Sn,2,1.86,4.5
Sb,5,1.91,6
Sb,3,1.91,4.5
Te,6,1.91,7
Te,4,1.93,4.5
I,7,1.94,5.8
I,5,1.97,4.5
Xe,6,1.97,4.5
Cs,1,2.34,6.6
Ba,2,2.3,7
La,3,2.17,6.5
Ce,3,2.16,6.5
Pr,3,2.15,6.5
Nd,3,2.14,6.5
Pm,3,2.12,6.5
Sm,3,2.11,6.5
Eu,3,2.09,6.5
Gd,3,2.08,6.5
Tb,3,2.07,6.5
Dy,3,2.05,6.5
Ho,3,2.04,6.5
Er,3,2.03,6.5
Tm,3,2.02,6.5
Yb,3,2.01,6.5
Lu,3,2,6.5
Hf,4,1.95,6
Ta,5,1.91,5
W,6,1.9,6
Re,7,1.91,6
Hg,2,1.98,6.5
TI,1,2.1,6
Pb,2,2.04,5.5
Bi,3,2.01,5
U,6,2.06,4.3
