element,valence,O,F,CI
Ac,3,2.24,2.13,2.63
Ag,1,1.805,1.8,2.09
Al,3,1.651,1.545,2.03
Am,3,2.11,2,2.48
As,5,1.789,1.7,2.16
As,5,1.767,1.62,2.14
Au,3,1.833,1.81,2.17
B,3,1.371,1.31,1.74
Ba,2,2.29,2.19,2.69
Be,2,1.381,1.28,1.76
Bi,3,2.09,1.99,2.48
Bi,5,2.06,1.97,2.44
Bk,3,2.08,1.96,2.46
Br,7,1.81,1.72,2.19
C,4,1.39,1.32,1.76
Ca,2,1.967,1.842,2.37
Cd,2,1.904,1.811,2.23
Ce,3,2.151,2.036,2.52
Ce,5,2.028,1.995,2.41
Cf,3,2.07,1.95,2.45
CI,7,1.632,1.55,2
Cm,3,2.23,2.12,2.62
Co,2,1.692,1.64,2.01
Co,3,1.7,1.62,2.05
Cr,2,1.73,1.67,2.09
Cr,3,1.724,1.64,2.08
Cr,6,1.794,1.74,2.12
Cs,1,2.42,2.33,2.79
Cu,1,1.593,1.6,1.85
Cu,2,1.679,1.6,2
Dy,3,2.036,1.922,2.41
Er,3,2.01,1.906,2.39
Eu,2,2.147,2.04,2.53
Eu,3,2.076,1.961,2.455
Fe,2,1.734,1.65,2.06
Fe,3,1.759,1.67,2.09
Ga,3,1.73,1.62,2.07
Gd,3,2.065,1.95,2.445
Ge,4,1.748,1.66,2.14
H,1,0.95,0.92,1.28
Hf,4,1.923,1.85,2.3
Hg,1,1.9,1.81,2.28
Hg,2,1.93,1.9,2.25
Ho,3,2.023,1.908,2.401
I,5,2,1.9,12.38
I,7,1.93,1.83,2.31
In,3,1.902,1.79,2.28
lr,5,1.916,1.82,2.3
K,1,2.13,1.99,2.52
La,3,2.172,2.057,2.545
Li,1,1.466,1.36,1.91
Lu,3,1.971,1.876,2.361
Mg,2,1.693,1.581,2.08
Mn,2,1.79,1.698,2.13
Mn,3,1.76,1.66,2.14
Mn,4,1.753,1.71,2.13
Mn,7,1.79,1.72,2.17
Mo,6,1.907,1.81,2.28
N,3,1.361,1.37,1.75
N,5,1.432,1.36,1.8
Na,1,1.8,1.677,2.15
Nb,5,1.911,1.87,2.27
Nd,3,2.117,2.008,2.492
Ni,2,1.654,1.599,2.02
Os,4,1.811,1.72,2.19
P,5,1.604,1.521,1.99
Pb,2,2.112,2.03,2.53
Pb,4,2.042,1.94,2.43
Pd,2,1.792,1.74,2.05
Pr,3,2.135,2.022,2.5
Pt,2,1.768,1.68,2.05
Pt,4,1.879,1.759,2.17
Pu,3,2.11,2,2.48
Rb,1,2.26,2.16,2.65
Re,7,1.97,1.86,2.23
Rh,3,1.791,1.71,2.17
Ru,4,1.834,1.74,2.21
S,4,1.644,1.6,2.02
S,6,1.624,1.56,2.03
Sb,3,1.973,1.9,2.35
Sb,5,1.942,1.8,2.3
Sc,3,1.849,1.76,2.23
Se,4,1.811,1.73,2.22
Se,6,1.788,1.69,2.16
Si,4,1.624,1.58,2.03
Sm,3,2.088,1.977,2.466
Sn,2,1.984,1.925,2.36
Sn,4,1.905,1.84,2.28
Sr,2,2.118,2.019,2.51
Ta,5,1.92,1.88,2.3
Tb,3,2.049,1.936,2.427
Te,4,1.977,1.87,2.37
Te,6,1.917,1.82,2.3
Th,4,2.167,2.07,2.55
Ti,3,1.791,1.723,2.17
Ti,4,1.815,1.76,2.19
TI,1,2.172,2.15,2.56
TI,3,2.003,1.88,2.32
Tm,3,2,1.842,2.38
U,4,2.112,2.034,2.48
U,6,2.075,1.966,2.46
V,3,1.743,1.702,2.19
V,4,1.784,1.7,2.16
V,5,1.803,1.71,2.16
W,6,1.921,1.83,2.27
Y,3,2.014,1.904,2.4
Yb,3,1.985,1.875,2.371
Zn,2,1.704,1.62,2.01
Zr,4,1.937,1.854,2.33
