Name,Symbol,Atomic Number,Atomic Weight,Period,Group,Families,Metal,l quantum Number,"Atomic, calculated","Atomic, display*",display*,Miracle,Covalent,Ionic,van der Waals,Effective Ionic,Zunger radii sum,csd covalent,csd covalent.1,Slater,Orbital,crystal,Pauling,MB,Gordy,Mulliken,Allred-Rockow,Sanderson-1,Sanderson-2,Sanderson-3,Sanderson-4,Sanderson-5,Sanderson-6,Sanderson-7,Allred,Boyd-EdgeCombe,Ghosh-Gupta (eV),Pearson Absolute (eV),Nagle,Allen,Metallic Valence,# Valence Electrons,Gilmor # of valence electron,valence s,valence p,valence d,valence f,# unfilled s,# unfilled p,# unfilled d,# unfilled f,outer shell electrons,1st ionization potential (kJ/mol),polarizability (A^3),Melting,Boiling,Boiling*,Superconducting,Curie,Neel,Density (g/mL),Specific Heat (J/g K),Fusion,Vaporization,Atomization,Conductivity (W/(m K)),Conductivity (W/(m K))*,Expansion (K^-1),Cohesive energy,B(Gpa),zeff,1st bohr radius(a),electron affinity (kJ/mol),Bulk,Shear,Young,Vickers (MPa),Brinell (MPa),Chemical,LDA-Etot,LDA-Ekin,LDA-Ecoul,LDA-Eenuc,LDA-Exc,LSD-Etot,LSD-Ekin,LSD-Ecoul,LSD-Eenuc,LSD-Exc,RLDA-Etot,RLDA-Ekin,RLDA-Ecoul,RLDA-Eenuc,RLDA-Exc,ScRLDA-Etot,ScRLDA-Ekin,ScRLDA-Ecoul,ScRLDA-Eenuc,ScRLDA-Exc,Crystal Structure,Space Group,alpha,beta,gamma,a,b,c,Resistivity (mΩ),Resistivity (mΩ)*,Electrical Conductivity,Adiabatic,Refractive,Temperature (K),Pressure (Mpa),Radioactivity,Half Life (sec),Lifetime (sec),Neutron cross section,Neutron mass absorption,Ionization Energy (eV)
Hydrogen,H,1,1.00794,1,1,7,Nonmetal,0,53,37,v,,37,-4,120,10,1.25,31,,0.25,52.9,0.1,2.2,2.1,7.1784,7.18,2.3,2.592,N/A,N/A,N/A,N/A,N/A,N/A,2.2,N/A,7.1862,7.18,2.27,2.3,0,1,1,1,0,0,0,1,6,10,14,1,1312,0.7,14.05,20.25,,,,,0.0899,14.304,0.5868,0.44936,218,0.1815,,,0,0.2,1,0.529,73,,,,,,-37.55,-0.445671,0.425027,0.282827,-0.920999,-0.232525,-0.478671,0.466643,0.298377,-0.965619,-0.278072,-0.445668,0.42502,0.282824,-0.920997,-0.232516,-0.445668,0.42502,0.282824,-0.920996,-0.232515,Simple Hexagonal,194,1.570796327,1.570796327,2.094395102,470,470,340,N/A,,,1.4,1.000035,32.97,1.293,Nonradioactive,,,0.332,0.011,13.5984
Helium,He,2,4.002602,1,18,9,Nonmetal,0,31,32,v,,32,,140,,0,28,,0.31,29.1,0,0,0,12.0486,0,4.16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.0568,N/A,3.92,N/A,0,0,0,0,0,0,0,2,6,10,14,0,2372,0.198,0.95,4.25,,,,,0.1785,5.193,0.02,0.0845,0,0.152,,,0,#,1.344,0.394,-50,,,,,,25,-2.834836,2.767922,1.99612,-6.625564,-0.973314,-2.834836,2.767922,1.99612,-6.625564,-0.973314,-2.834785,2.767773,1.996036,-6.625496,-0.973098,-2.834785,2.767751,1.99603,-6.625471,-0.973096,Face-centered Cubic,225,1.570796327,1.570796327,1.570796327,424.2,424.2,424.2,N/A,,,1.67,1.000067,5.19,0.227,Nonradioactive,,,0.007,0.00001,24.5874
Lithium,Li,3,6.941,2,1,1,Metal,0,167,152,m,152,134,90,182,76,1.61,128,,1.45,158.6,0.9,0.98,0.9,3.2223,3.01,0.912,0.886,N/A,N/A,N/A,N/A,N/A,N/A,0.98,1,2.4435,3.01,0.94,0.912,1,1,1,1,0,0,0,1,6,10,14,1,520,24.3,453.65,1615.15,,,,,0.535,3.6,3,145.92,161,84.7,,0.000046,1.63,11.6,1.259,1.681,60,11,4.2,4.9,,,-30.45,-7.335195,7.237484,3.990755,-16.911041,-1.652393,-7.343957,7.249892,4.009258,-16.937918,-1.665189,-7.335231,7.237592,3.99073,-16.911917,-1.651635,-7.335231,7.237481,3.990704,-16.911792,-1.651624,Body-centered Cubic,229,1.570796327,1.570796327,1.570796327,351,351,351,9.40E-08,,11000000,,1.000132,3223,67,Nonradioactive,,,71,0,5.3917
Beryllium,Be,4,9.01218,2,2,2,Metal,0,112,112,m,112,90,59,153,45,1.08,96,,1.05,104,0.41,1.57,1.45,3.7942,4.9,1.576,1.56,1.81,N/A,N/A,N/A,N/A,N/A,1.57,1.44,3.706,4.9,1.55,1.576,2,2,2,2,0,0,0,0,6,10,14,2,899,5.6,1551.15,3243.15,,0.026,,,1.85,1.82,7.95,292.4,324,200,,0.0000113,3.32,110,1.656,1.278,-50,130,132,287,1670,600,24.275,-14.447209,14.309424,7.115257,-33.357034,-2.514856,-14.447209,14.309424,7.115257,-33.357034,-2.514856,-14.447997,14.311787,7.115741,-33.362526,-2.512998,-14.447997,14.311376,7.115647,-33.362056,-2.512964,Simple Hexagonal,194,1.570796327,1.570796327,2.094395102,228.58,228.58,358.43,4.00E-08,,25000000,,1.000195,,,Nonradioactive,,,0.0092,0.00003,9.3227
Boron,B,5,10.811,2,13,6,Metalloid,1,87,82,v,78,82,41,180,27,0.795,84,,0.85,77.6,0.25,2.04,1.9,4.5951,4.29,2.051,1.53,2.19,2.275,N/A,N/A,N/A,N/A,2.04,1.9,4.9686,4.29,2.02,2.051,3,3,3,2,1,0,0,0,5,10,14,3,801,3,2352.15,4275,,,,,2.34,1.02,50.2,489.7,573,27,,0.000006,5.81,178,1.561,1.355,27,320,,,49000,,-14.45,-24.344198,24.161047,11.503002,-56.484587,-3.52366,-24.353614,24.172451,11.528234,-56.51674,-3.537559,-24.347331,24.170449,11.50476,-56.502555,-3.519985,-24.347331,24.169382,11.504547,-56.501346,-3.519913,Simple Trigonal,166,1.01334,1.01334,1.01334,506,506,506,1.00E+04,,0.0001,,1.000271,,,Nonradioactive,,,760,2.4,8.298
Carbon,C,6,12.011,2,14,7,Nonmetal,1,67,77,v,77,77,40,170,16,0.64,76,"76, 73, 69",0.7,62,0.29,2.55,2.37,5.6246,6.27,2.544,2.746,N/A,N/A,N/A,N/A,N/A,N/A,2.55,2.6,6.2338,6.27,2.55,2.544,4,4,4,2,2,0,0,0,4,10,14,4,1086,1.8,3640.15,5100.15,4300.15,,,,2.25,0.71,105,355.8,717,129,140,0.0000071,7.37,443,1.8193,1.163,122,33,,,,,-62.185,-37.425749,37.190391,17.627997,-87.515412,-4.728724,-37.470031,37.242662,17.722784,-87.646436,-4.789041,-37.434171,37.215681,17.632308,-87.559852,-4.722308,-37.43417,37.213317,17.631889,-87.557199,-4.722177,Simple Hexagonal,194,1.570796327,1.570796327,2.094395102,246.4,246.4,671.1,1.00E-05,,100000,,1.000281,,,Nonradioactive,,,0.0035,0.000015,11.2603
Nitrogen,N,7,14.00674,2,15,7,Nonmetal,1,56,75,v,72,75,132,155,146,0.54,71,,0.65,52.1,0.3,3.04,2.85,6.8834,7.3,3.066,3.194,N/A,N/A,N/A,N/A,N/A,N/A,3.04,3.08,7.4964,7.3,3.12,3.066,3,5,5,2,3,0,0,0,3,10,14,5,1402,1.1,63.25,77.35,,,,,0.00125,1.04,0.3604,2.7928,473,0.02598,0.02583,,4.92,1.2,2.068,1.023,-0.07,,,,,,-1.39,-54.025016,53.731727,25.799845,-127.416229,-6.140359,-54.136799,53.861177,26.005085,-127.71784,-6.285222,-54.043484,53.787205,25.808674,-127.509302,-6.13006,-54.043482,53.782518,25.807921,-127.504081,-6.12984,Simple Hexagonal,194,1.570796327,1.570796327,2.094395102,386.1,386.1,626.5,N/A,,,1.4,1.000298,126.21,3.39,Nonradioactive,,,1.91,0.0048,14.5341
Oxygen,O,8,15.9994,2,16,7,Nonmetal,1,48,73,v,64,73,126,152,140,0.465,66,,0.6,45,1.21,3.44,3.32,8.3703,7.54,3.61,3.654,N/A,N/A,N/A,N/A,N/A,N/A,3.44,3.62,8.7861,7.54,3.62,3.61,0,6,6,2,4,0,0,0,2,10,14,6,1314,0.793,54.75,90.15,,,,,0.00143,0.92,0.22259,3.4099,249,0.02674,0.02658,,2.62,2.24694868,2.001,1.058,141,,,,,,-72.16,-74.473077,74.116881,36.331102,-177.152578,-7.768482,-74.52741,74.178813,36.409873,-177.279326,-7.83677,-74.508653,74.223804,36.3473,-177.326837,-7.75292,-74.508648,74.215239,36.346037,-177.317352,-7.752572,Base-centered Monoclinic,12,1.570796327,2.313085,1.570796327,540.3,342.9,508.6,N/A,,,1.4,1.000427,154.59,5.043,Nonradioactive,,,0.00028,1.00E-06,13.6181
Fluorine,F,9,18.998403,2,17,8,Nonmetal,1,42,71,v,66,71,119,147,133,0.405,57,,0.5,39.6,1.19,3.98,3.78,10.0854,10.41,4.193,4,N/A,N/A,N/A,N/A,N/A,N/A,3.98,4,10.0378,10.41,4.23,4.193,0,7,7,2,5,0,0,0,1,10,3,7,1681,0.634,53.35,85.05,,,,,0.0017,0.82,0.2552,3.2698,79,0.0279,,,0.84,2.2,2.263,0.835,328,,,,,,-165.89,-99.099648,98.676131,49.535385,-237.688846,-9.622319,-99.114192,98.6925,49.553571,-237.720045,-9.640218,-99.162239,98.864327,49.562929,-237.989645,-9.599851,-99.162225,98.849634,49.560919,-237.97345,-9.599327,Base-centered Monoclinic,15,1.570796327,1.570796327,1.570796327,550,328,728,N/A,,,1.4,1.000702,144.13,5.172,Nonradioactive,,,0.0096,0.00002,17.4228
Neon,Ne,10,20.1797,2,18,9,Nonmetal,1,38,69,v,,69,,154,102,0,58,,0.38,35.4,0,0,0,12.0317,0,4.789,4.5,N/A,N/A,N/A,N/A,N/A,4.36,N/A,N/A,11.3003,N/A,4.89,4.787,0,0,0,0,0,0,0,2,6,10,14,0,2081,0.396,24.45,25.15,,,,,0.0009,0.904,0.3317,1.7326,0,0.0493,,,0.02,#,2.518,0.84,-120,,,,,,60,-128.233481,127.738667,65.726488,-309.988206,-11.71043,-128.233481,127.738667,65.726488,-309.988206,-11.71043,-128.336403,128.048273,65.77074,-310.476301,-11.679115,-128.336369,128.024308,65.767675,-310.449994,-11.678358,Face-centered Cubic,225,1.570796327,1.570796327,1.570796327,442.9,442.9,442.9,N/A,,,1.67,1.000773,44.4,2.76,Nonradioactive,,,0.04,0.00059,21.5645
Sodium,Na,11,22.989768,3,1,1,Metal,0,190,186,m,180,154,116,227,72,2.65,166,,1.8,171.3,1.16,0.93,0.89,2.5378,2.85,0.869,0.835,N/A,N/A,N/A,N/A,N/A,N/A,0.93,1,2.438,2.85,0.95,0.869,1,1,1,1,0,0,0,1,6,10,14,1,496,23.6,370.95,1156.15,,,,,0.971,1.23,2.598,96.96,109,141,,7.00E-05,1.113,6.8,1.842,2.584,53,6.3,3.3,10,,0.69,-26.945,-161.44006,160.896571,79.732497,-388.546372,-13.522757,-161.447625,160.907255,79.784904,-388.606022,-13.533763,-161.601691,161.382981,79.804831,-389.308645,-13.480857,-161.601623,161.344619,79.799934,-389.266444,-13.479731,Body-centered Cubic,229,1.570796327,1.570796327,1.570796327,429.06,429.06,429.06,4.70E-08,,21000000,,1.000895,2573,35,Nonradioactive,,,0.53,0.0007,5.1391
Magnesium,Mg,12,24.305,3,2,2,Metal,0,145,160,m,160,130,86,173,53.5,2.03,141,,1.5,127.9,0.86,1.31,1.31,2.9745,3.75,1.293,1.318,N/A,N/A,N/A,N/A,N/A,N/A,1.31,1.32,3.6108,3.75,1.32,1.293,2,2,2,2,0,0,0,0,6,10,14,2,738,10.6,922.15,1363.15,,,,,1.74,1.02,8.954,127.4,148,156,,2.48E-05,1.51,35.6,2.248,0.674,-40,45,17,45,,260,19.345,-199.139406,198.541505,95.67329,-477.899149,-15.455051,-199.139406,198.541505,95.67329,-477.899149,-15.455051,-199.382965,199.274807,95.78447,-479.041925,-15.400316,-199.382839,199.215426,95.777042,-478.976612,-15.398695,Simple Hexagonal,194,1.570796327,1.570796327,2.094395102,320.94,320.94,521.08,4.40E-08,,23000000,,1.000933,,,Nonradioactive,,,0.063,0.0001,7.6462
Aluminum,Al,13,26.981539,3,13,5,Metal,1,118,143,m,141,118,67.5,184,40,1.675,121,,1.25,131.2,0.53,1.61,1.64,3.5237,3.23,1.613,0.84,1.63,1.714,N/A,N/A,N/A,N/A,1.61,1.58,4.6393,3.23,1.55,1.613,3,3,3,2,1,0,0,0,5,10,14,3,578,8.3,933.15,2740.15,2792.15,1.175,,,2.7,0.9,10.79,293.4,326,237,,2.31E-05,3.39,75.2,1.989,0.761,42,76,26,70,167,245,-21.82,-241.315573,240.663489,112.670733,-577.205757,-17.444038,-241.321156,240.670669,112.705697,-577.245289,-17.452233,-241.669323,241.729117,112.827267,-578.851985,-17.373722,-241.669101,241.64091,112.816539,-578.755072,-17.371477,Face-centered Cubic,225,1.570796327,1.570796327,1.570796327,404.95,404.95,404.95,2.60E-08,,38000000,,1.000991,,,Nonradioactive,,,0.233,0.03,5.9858
Silicon,Si,14,28.0855,3,14,6,Nonmetal,1,111,111,v,110,111,54,210,44,1.42,11,111,1.1,106.8,0.4,1.9,1.98,4.1852,4.77,1.916,2.08,N/A,1.99,2.138,N/A,N/A,N/A,1.9,1.87,5.5236,4.77,1.87,1.916,4,4,4,2,2,0,0,0,4,10,14,4,787,5.4,1683.15,2628.15,3173.15,,,,2.33,0.71,50.55,384.22,452,148,,2.60E-06,4.63,98,2.321,0.652,134,100,,47,9630.1303,,-67.99,-288.198397,287.48774,131.767814,-687.900675,-19.553276,-288.222945,287.518355,131.881748,-688.036467,-19.586581,-288.696925,288.990326,131.982541,-690.205114,-19.464678,-288.696551,288.863348,131.967556,-690.0658,-19.461655,Tetrahedral Packing,227,1.570796327,1.570796327,1.570796327,543.09,543.09,543.09,1.00E-03,,1000,,1.001111,,,Nonradioactive,,,0.166,0.0002,8.1517
