Element,Valence,CN,Polarizability
Li,1,4,1.044790928
Li,1,5,2.465680985
Li,1,6,1.45
B,3,3,0.102965764
B,3,4,0.05
O,-2,1,2.435604055
O,-2,2,2.395130595
O,-2,3,2.106510218
O,-2,4,1.994350032
O,-2,5,1.833919168
O,-2,6,1.858400391
F,-1,4,1.547917441
F,-1,6,1.520071763
Na,1,4,5.048404306
Na,1,5,3.502241
Na,1,6,2.143282421
Na,1,8,1.750461934
Mg,2,4,2.07
Mg,2,5,0.57
Mg,2,6,1.545531032
Al,3,4,1.564867228
Al,3,5,0.756525322
Al,3,6,0.796492061
Si,4,4,0.884422157
Si,4,6,0.05
P,5,4,1.118263179
K,1,10,5.123946962
K,1,7,3.58
K,1,8,4.547773922
Ca,2,12,4.755058593
Ca,2,3,5.829350864
Ca,2,5,5.157263026
Ca,2,6,4.193257945
Ca,2,7,3.91058804
Ca,2,8,2.858116814
Ti,4,4,3.68
Ti,4,5,3.18
Ti,4,6,3.62190231
V,5,4,3.384790739
V,5,5,3.646121323
V,5,6,2.17
Mn,2,6,2.595667247
Mn,4,6,1.81263108
Fe,3,4,2.170437107
Fe,3,6,3.04
Co,2,4,3.458411875
Co,2,5,2.353552967
Co,2,6,1.883787232
Ni,2,5,0.10439894
Ni,2,6,1.172739029
Cu,2,4,1.86
Cu,2,5,1.86
Zn,2,4,2.761773933
Zn,2,5,2.29
Zn,2,6,2.714511989
Ga,3,4,2.25
Ga,3,6,1.465499047
Ge,4,4,2.175279671
Ge,4,6,0.05
Sr,2,10,4.446465681
Sr,2,12,5.04364357
Sr,2,6,4.99
Sr,2,7,4.591372829
Sr,2,8,5.272136974
Sr,2,9,5.066138649
Y,3,6,4.212879721
Y,3,7,3.864968316
Y,3,8,3.56
Zr,4,6,5.300355548
Zr,4,8,2.094399479
Nb,5,4,3.72
Nb,5,5,5.547285085
Nb,5,6,4.22
Mo,6,4,3.702520669
Mo,6,5,3.239921868
Mo,6,6,4.03
Ag,1,6,3.214319893
Cd,2,8,2.65
In,3,6,3.768195678
Sn,4,4,2.918512949
Sn,4,6,3.08
Sb,5,6,2.786556368
Te,4,3,5.55258107
Te,4,4,6.309320134
Te,4,5,5.928744179
Te,6,6,3.84
Ba,2,10,6.623710721
Ba,2,11,9.393125992
Ba,2,12,6.632116862
Ba,2,5,7.754745525
Ba,2,6,8.15
Ba,2,7,7.366315091
Ba,2,8,7.15
Ba,2,9,6.550883825
La,3,12,3.03125815
La,3,6,5.82
La,3,7,5.945957299
La,3,8,5.82
La,3,9,5.32
Ce,3,8,5.9
Ce,3,9,4.838857804
Ce,4,6,5.838075364
Ce,4,8,4.046527447
Pr,3,8,5.07
Pr,3,9,5.303039162
Nd,3,7,3.738841169
Nd,3,8,4.76
Nd,3,9,4.55024899
Sm,3,6,5.49
Sm,3,7,4.741501069
Sm,3,8,4.99
Sm,3,9,3.99
Eu,3,7,4.948132741
Eu,3,8,4.792515839
Gd,3,7,3.981957506
Gd,3,8,5.090190208
Tb,3,8,3.5
Dy,3,7,3.82
Dy,3,8,3.88485312
Ho,3,7,3.934807049
Ho,3,8,3.792934508
Er,3,7,3.573522826
Er,3,8,3.56
Tm,3,7,3.57
Yb,3,6,6.729272618
Yb,3,7,1.236576112
Yb,3,8,3.691468779
Lu,3,6,3.52568232
Hf,4,6,4.076172761
Hf,4,8,1.430730555
Ta,5,6,4.48
W,6,4,3.658962717
W,6,5,3.913427447
W,6,6,3.387965005
Pb,2,5,7.951325347
Pb,2,8,7.919013938
Bi,3,3,5.37
Bi,3,4,6.098766538
Bi,3,5,6.37
Bi,3,6,7.367469419
Bi,3,8,7.569890435
