Element,Valence,CN,Polarizability
H,1,1,0.032775734
H,1,2,0.049804541
Li,1,1,1.947257729
Li,1,2,1.766910002
Li,1,3,1.53939355
Li,1,4,1.289970634
Li,1,5,1.23291435
Li,1,6,1.194161026
Li,1,7,1.155240877
Li,1,8,1.201858147
Li,1,9,1.294778794
Li,1,10,1.49179063
Li,1,12,2.261956544
Be,2,3,0.282102363
Be,2,4,0.356941247
Be,2,5,0.387654693
Be,2,6,0.419190061
B,3,3,0.164787008
B,3,4,0.200392155
B,3,5,0.208987707
B,3,6,0.221220065
C,3,2,0.286749989
C,4,3,0.401698975
C,3,3,0.269734728
C,2,1,0.463082755
C,4,4,0.431136721
C,2,2,0.430317264
C,4,6,0.179435573
N,5,6,0.251780529
N,3,6,0.116624183
N,-3,4,1.670150355
O,-2,1,2.612742731
O,-2,2,2.322300602
O,-2,3,2.054143843
O,-2,4,1.825911138
O,-2,5,1.686718106
O,-2,6,1.624744661
O,-2,8,1.7829566
F,7,6,0.539954036
F,-1,2,3.095724717
F,-1,3,2.649813055
F,-1,4,2.287448323
F,-1,6,1.863419865
Na,1,1,6.960098644
Na,1,2,6.248721626
Na,1,3,5.240532215
Na,1,4,4.324975004
Na,1,5,3.289447633
Na,1,6,2.593022298
Na,1,7,2.52232318
Na,1,8,2.452728892
Na,1,9,2.58878756
Na,1,10,2.904605202
Na,1,11,3.412623646
Na,1,12,4.094398312
Mg,2,3,1.905403633
Mg,2,4,1.957141505
Mg,2,5,1.895937437
Mg,2,6,1.602570689
Mg,2,7,1.547922696
Mg,2,8,1.531128071
Mg,2,9,1.536009641
Al,3,3,1.248731381
Al,3,4,1.252720247
Al,3,5,1.28292998
Al,3,6,1.061961508
Al,3,7,0.983474132
Si,4,4,0.955389701
Si,4,5,0.904813745
Si,4,6,0.80875059
Si,4,8,0.627365457
P,5,4,0.915869656
P,4,4,0.807286524
P,3,3,0.971012952
P,5,5,1.153314344
P,5,6,1.145503253
P,3,6,0.651748358
S,6,4,1.115256199
S,4,2,0.974737956
S,4,3,0.979948236
S,6,6,1.08175509
S,3,3,1.520965309
S,5,6,1.007429421
S,4,6,0.691665283
S,2,1,3.85484837
S,2,2,3.562656894
S,2,3,3.110001257
S,2,4,2.579105981
S,-2,6,1.469912745
Cl,7,4,1.393294557
Cl,5,3,1.066515863
Cl,4,2,1.568736995
Cl,7,6,1.428995425
Cl,1,1,8.329171532
Cl,1,2,7.29363521
Cl,-1,6,1.734022306
K,1,2,7.200970265
K,1,3,6.004736794
K,1,4,5.054287512
K,1,6,4.006818087
K,1,5,4.427876198
K,1,7,3.914054686
K,1,8,4.082631566
K,1,9,4.498434552
K,1,10,5.182078125
K,1,11,5.918357685
K,1,12,6.841892631
K,1,13,7.771959411
Ca,2,2,6.421170727
Ca,2,3,6.122942331
Ca,2,4,5.442727135
Ca,2,5,4.658276839
Ca,2,6,3.986445462
Ca,2,7,3.447945969
Ca,2,8,3.170276051
Ca,2,9,3.126569139
Ca,2,10,3.204924345
Ca,2,11,3.519647078
Ca,2,12,3.968000362
Sc,3,5,3.118286245
Sc,3,6,2.833325158
Sc,3,7,2.335094967
Sc,3,8,2.055907449
Sc,2,6,3.293714216
Sc,3,9,1.953150486
Sc,3,10,1.934445695
Ti,4,2,2.342130314
Ti,4,3,2.549561061
Ti,4,4,2.518399106
Ti,4,5,2.490672623
Ti,4,6,2.401145952
Ti,3,5,2.585339754
Ti,3,6,2.083509189
Ti,2,4,3.733566514
Ti,4,8,1.710704312
Ti,3,7,1.97856078
Ti,2,5,3.175295137
Ti,4,9,1.448929749
Ti,4,10,1.289234268
Ti,2,6,2.7356254
V,5,2,2.174832906
V,4,1,2.035710191
V,4,2,2.364792687
V,5,3,2.560675002
V,4,3,2.599887097
V,5,4,2.778687416
V,4,4,2.674305944
V,3,3,2.807176491
V,5,5,2.97733704
V,3,4,2.53531641
V,4,5,2.75140847
V,5,6,2.646876134
V,3,5,2.173231293
V,4,6,2.136012847
V,5,8,1.453726217
V,3,6,1.8310566
V,4,8,1.564876746
V,2,6,2.176201694
Cr,6,4,2.490468584
Cr,5,4,2.635258151
Cr,6,5,2.549580936
Cr,3,2,2.776017012
Cr,4,4,2.399784999
Cr,5,5,2.440645331
Cr,6,6,2.328401517
Cr,4,5,2.20378359
Cr,5,6,2.07369797
Cr,3,4,2.399805963
Cr,4,6,1.850915381
Cr,5,8,1.096440119
Cr,2,3,3.369033255
Cr,3,6,1.64042228
Cr,2,4,2.905039018
Cr,3,7,1.458151487
Cr,2,5,2.384371585
Cr,2,6,1.753637942
Cr,2,7,1.899648998
Cr,3,9,1.439468797
Cr,3,10,1.539528353
Cr,2,8,1.939902927
Mn,6,4,2.425368165
Mn,5,4,2.432657723
Mn,4,4,2.162798247
Mn,7,6,3.334183424
Mn,4,5,2.206964286
Mn,3,4,2.633047701
Mn,2,2,3.543533152
Mn,4,6,1.680601385
Mn,3,5,2.223423464
Mn,3,6,1.399617808
Mn,2,3,3.467182968
Mn,2,4,3.010055488
Mn,2,6,1.388943702
Mn,3,7,1.467148202
Mn,2,5,2.803577532
Mn,3,8,1.460314505
Mn,2,7,2.219116903
Mn,2,8,2.008830344
Mn,2,9,2.191510187
Mn,3,12,1.916569535
Mn,2,10,2.468484228
Mn,2,12,3.238122735
Fe,5,4,2.369927097
Fe,4,4,2.590189415
Fe,3,3,2.731786407
Fe,2,2,2.946008149
Fe,3,4,2.28748355
Fe,4,5,2.333756313
Fe,3,6,1.21810829
Fe,2,3,2.937344888
Fe,1,2,2.763563429
Fe,3,5,2.227533702
Fe,4,6,2.189614934
Fe,2,6,1.082886959
Fe,2,4,2.691018288
Fe,2,5,1.895490883
Fe,3,7,1.322651078
Fe,3,8,1.437150929
Fe,2,7,1.483729699
Fe,2,8,1.759512954
Fe,2,9,1.982543727
Fe,2,10,2.291152098
Fe,2,12,3.043837848
Co,4,4,2.289362149
Co,3,3,2.334981981
Co,2,2,2.193571583
Co,4,5,2.021020618
Co,3,4,2.101255243
Co,1,2,2.087143932
Co,2,3,2.270166848
Co,3,5,1.737591975
Co,4,6,1.684907559
Co,3,6,1.193446428
Co,2,4,2.20736348
Co,2,6,1.288906608
Co,3,7,1.261946177
Co,2,5,2.104834039
Co,2,7,1.476606584
Co,2,8,1.644255557
Co,2,9,1.786767592
Ni,1,2,1.766702746
Ni,2,3,1.849749852
Ni,3,4,1.890705368
Ni,4,6,1.31705034
Ni,2,4,1.494702489
Ni,3,6,1.285766369
Ni,2,5,1.802562013
Ni,2,6,1.520549365
Ni,2,7,1.502838447
Ni,2,8,1.523168763
Ni,2,9,1.63910577
Cu,3,4,1.914953523
Cu,1,2,1.888438098
Cu,2,3,2.080725926
Cu,3,5,1.580458733
Cu,1,3,1.831989728
Cu,3,6,1.173262519
Cu,2,4,2.128787655
Cu,1,4,1.634817496
Cu,2,5,1.957078002
Cu,3,8,1.049549429
Cu,1,5,1.75036639
Cu,2,6,1.777701833
Cu,1,6,1.434142593
Cu,2,7,1.592423111
Cu,2,8,1.5428204
Cu,1,7,1.722464013
Cu,2,9,1.594917798
Cu,3,12,1.297603407
Cu,1,8,1.806122606
Cu,2,10,1.728743399
Cu,1,9,2.008995782
Cu,2,12,2.273023134
Cu,1,10,2.362135882
Zn,2,2,2.235940589
Zn,2,3,2.389607303
Zn,2,4,2.408863222
Zn,2,5,2.199528016
Zn,2,6,1.848989749
Zn,2,7,1.715550206
Zn,2,8,1.653949767
Zn,2,9,1.619648994
Ga,3,4,2.253486674
Ga,3,5,1.95916403
Ga,3,6,1.70057688
Ga,3,7,1.442765973
Ga,3,8,1.271807731
Ge,4,4,2.184625401
Ge,4,5,1.950553304
Ge,3,4,2.072123277
Ge,4,6,1.691361713
Ge,2,3,2.726077532
Ge,4,7,1.312994377
Ge,4,8,1.066194492
Ge,2,6,1.789941642
As,5,4,2.490293431
As,5,5,2.129321629
As,3,3,2.39312478
As,5,6,1.780829202
As,3,4,2.114492624
As,3,5,1.744518078
As,5,8,1.122570772
As,3,6,1.42804061
Se,6,3,2.66846212
Se,4,3,1.782506732
Se,6,4,2.707176377
Se,6,5,2.433876963
Se,4,4,1.799774105
Se,6,6,2.069788262
Se,4,5,1.725881793
Se,4,6,1.467316647
Se,2,1,4.467615534
Se,2,2,4.405367384
Se,4,7,1.515420385
Se,2,3,4.07499833
Se,4,8,1.438759265
Se,4,9,1.373095797
Se,2,8,2.265408553
Se,-2,6,1.751268117
Br,5,3,3.244761092
Br,7,6,2.362627127
Br,3,4,3.556675516
Br,5,6,3.882983422
Br,1,2,6.875010133
Br,-1,6,2.072103656
Rb,1,2,6.583582892
Rb,1,3,5.75145307
Rb,1,4,5.114889321
Rb,1,5,4.743071068
Rb,1,6,4.645957769
Rb,1,7,4.801017577
Rb,1,8,5.245172958
Rb,1,9,5.774637486
Rb,1,10,6.4972352
Rb,1,11,7.27335074
Rb,1,12,7.955660668
Rb,1,13,8.694637364
Rb,1,14,9.053705167
Sr,2,2,9.175634334
Sr,2,3,8.39247298
Sr,2,4,7.367854539
Sr,2,5,6.399565844
Sr,2,6,5.664325568
Sr,2,7,4.928210062
Sr,2,8,4.628704708
Sr,2,9,4.558397894
Sr,2,10,4.669686524
Sr,2,11,4.78720875
Sr,2,12,4.91114153
Y,3,3,6.941116154
Y,3,4,6.312862132
Y,3,5,5.470431174
Y,3,6,4.701563413
Y,3,7,3.971079907
Y,3,8,3.458528802
Y,2,6,4.668487078
Y,3,9,3.118338963
Y,3,10,2.893249353
Y,3,12,2.687591158
Zr,4,5,4.600739316
Zr,4,6,3.756683015
Zr,4,7,3.045980721
Zr,4,8,2.510022186
Zr,4,9,2.056999775
Zr,4,10,1.816629809
Nb,4,4,4.420241007
Nb,5,4,5.431475193
Nb,5,5,4.420245251
Nb,3,4,3.751062668
Nb,4,5,3.853054367
Nb,5,6,3.835331228
Nb,3,5,3.135164071
Nb,4,6,3.205315491
Nb,5,7,2.921287119
Nb,3,6,2.560182075
Nb,5,8,2.230117785
Nb,2,4,4.027099189
Nb,4,8,2.058320622
Nb,2,5,3.43640627
Nb,2,6,2.99525139
Mo,6,2,3.880098242
Mo,6,3,4.350125321
Mo,5,3,4.291613721
Mo,6,4,4.643881939
Mo,5,4,4.306076115
Mo,6,5,4.488256815
Mo,5,5,4.008792849
Mo,6,6,4.084436154
Mo,5,6,3.379919051
Mo,4,6,2.833601611
Mo,3,6,2.281434227
Mo,6,7,4.311612661
Mo,6,8,3.217615695
Tc,7,5,4.766721496
Tc,7,6,4.322956524
Tc,5,6,3.228764416
Tc,4,6,2.769223776
Tc,7,8,3.022660244
Ru,7,4,4.919228173
Ru,6,4,4.122195371
Ru,5,4,3.709208122
Ru,6,5,3.894485498
Ru,5,5,3.360626408
Ru,3,4,2.728586911
Ru,6,6,3.457712169
Ru,5,6,2.780699509
Ru,4,6,2.493690285
Ru,3,6,2.193650969
Ru,4,7,2.074786789
Ru,4,8,1.760741869
Rh,4,6,2.290331676
Rh,3,6,2.068872979
Rh,3,8,1.838095879
Pd,1,2,2.998580034
Pd,4,6,2.433188879
Pd,2,4,2.773451189
Pd,3,6,2.946831048
Pd,2,6,2.805371468
Pd,2,7,2.61982293
Pd,2,8,2.586995386
Pd,2,10,2.851910118
Ag,1,1,3.4099768
Ag,1,2,3.710277466
Ag,3,4,4.515179676
Ag,3,6,2.841523825
Ag,2,4,4.329488943
Ag,1,3,4.297902286
Ag,3,8,2.173854006
Ag,2,6,3.505798486
Ag,1,4,4.396100661
Ag,2,8,3.029526812
Ag,1,5,4.05617931
Ag,1,6,3.707124573
Ag,1,7,3.607204279
Ag,1,8,3.644213893
Ag,1,9,3.952955066
Ag,1,10,4.40786321
Ag,1,11,4.985373188
Ag,1,12,5.585507439
Cd,2,3,4.369306904
Cd,2,4,4.200989957
Cd,2,5,3.932292957
Cd,2,6,3.600983261
Cd,2,7,3.394368388
Cd,2,8,3.256397039
Cd,2,9,3.096772944
Cd,2,10,3.07537065
Cd,2,12,3.243706967
In,3,4,3.758838185
In,3,5,3.631943905
In,3,6,3.366124091
In,3,7,2.867176424
In,3,8,2.501052252
In,2,6,4.302085991
In,2,7,4.029008279
In,2,8,3.864098581
In,1,9,5.253214638
In,1,10,5.779423226
Sn,4,4,4.329683063
Sn,4,5,3.736567089
Sn,4,6,3.235466431
Sn,2,2,5.529825094
Sn,4,7,2.666618171
Sn,2,3,5.444116441
Sn,4,8,2.217575758
Sn,2,4,5.071613753
Sn,2,5,4.55134888
Sn,2,6,4.069423409
Sn,2,7,3.721431144
Sn,2,8,3.550239644
Sn,2,9,3.556599923
Sn,2,10,3.720424229
Sb,5,5,3.791293471
Sb,5,6,3.11385048
Sb,3,3,6.030196339
Sb,3,4,5.784786427
Sb,3,6,2.933853578
Sb,3,5,4.746013738
Sb,3,7,2.852800934
Sb,3,8,2.619547948
Sb,3,9,2.566084465
Sb,3,10,2.605221449
Te,6,4,4.548886407
Te,6,5,4.089972303
Te,4,3,5.020721501
Te,6,6,3.407107785
Te,5,5,5.61256203
Te,6,7,3.052799578
Te,4,4,6.060582206
Te,5,6,5.537578211
Te,4,5,6.936840476
Te,4,6,7.797943246
Te,4,7,6.291384465
Te,4,8,5.306778278
Te,4,9,4.453320478
Te,4,10,3.837113511
Te,-2,6,2.32722046
I,5,3,4.965053019
I,7,5,4.673200276
I,7,6,3.588681367
I,5,4,6.95367142
I,7,8,2.749096874
I,5,5,8.481616011
I,5,6,9.644179715
I,5,7,8.677968903
I,5,8,7.61288944
I,5,9,6.3804905
I,-1,6,2.787269873
Xe,8,6,3.298229299
Cs,1,2,5.002972057
Cs,1,3,4.993005747
Cs,1,4,5.105795896
Cs,1,5,5.389501668
Cs,1,6,5.873651328
Cs,1,7,6.571411545
Cs,1,8,7.466867556
Cs,1,9,8.53185272
Cs,1,10,9.485852447
Cs,1,11,10.30915703
Cs,1,12,10.53878295
Cs,1,13,10.42790384
Ba,2,2,8.649944162
Ba,2,3,8.283506413
Ba,2,4,7.852744259
Ba,2,5,7.509777546
Ba,2,6,7.420117777
Ba,2,7,7.159722854
Ba,2,8,7.099100406
Ba,2,9,7.262191118
Ba,2,10,7.46287987
Ba,2,11,7.590635666
Ba,2,12,7.362244537
La,3,2,8.799279254
La,3,3,8.557844105
La,3,4,7.929837934
La,3,5,7.149701052
La,3,6,6.385217165
La,3,7,5.879834428
La,3,8,5.414821554
La,3,9,5.035839544
La,2,6,6.601245384
La,3,10,4.734206816
La,3,11,4.149891585
La,2,8,6.2133368
La,3,12,4.029051751
La,2,9,6.263443822
La,2,10,6.405570862
La,2,12,6.35875079
Ce,4,6,5.746088009
