element,name,state,en
H,xz,1,2.271
H,xp,0,2.1
H,xa,0,2.1
Li,xz,1,0.943
Li,xp,0,1
Li,xa,0,0.97
Be,xz,2,1.46
Be,xp,0,1.5
Be,xa,0,1.47
B,xz,3,1.966
B,xp,0,2
B,xa,0,2.01
C,xz,2,2.536
C,xz,4,1.858
C,xp,0,2.5
C,xa,0,2.5
N,xz,5,3.602
N,xz,4,2.809
N,xp,0,3
N,xa,0,3.07
O,xz,6,3.642
O,xz,2,2.221
O,xp,0,3.5
O,xa,0,3.5
F,xz,7,4.188
F,xp,0,4
F,xa,0,4.1
Na,xz,1,0.956
Na,xp,0,0.9
Na,xa,0,1.01
Mg,xz,2,1.208
Mg,xp,0,1.2
Mg,xa,0,1.23
Al,xz,3,1.499
Al,xz,1,1.107
Al,xp,0,1.5
Al,xa,0,1.47
Si,xz,4,1.709
Si,xz,2,1.373
Si,xp,0,1.8
Si,xa,0,1.74
P,xz,5,2.131
P,xz,3,2.699
P,xp,0,2.1
P,xa,0,2.06
S,xz,6,1.709
S,xz,4,1.373
S,xp,0,1.8
S,xa,0,1.74
Cl,xz,7,2.835
Cl,xz,5,2.302
Cl,xp,0,3
Cl,xa,0,2.83
K,xz,1,0.897
K,xp,0,0.8
K,xa,0,0.91
Ca,xz,2,1.032
Ca,xp,0,1
Ca,xa,0,1.04
Sc,xz,3,1.316
Sc,xz,1,1.164
Sc,xp,0,1.3
Sc,xa,0,1.2
Ti,xz,4,1.577
Ti,xz,3,1.414
Ti,xz,2,1.224
Ti,xp,0,1.5
Ti,xa,0,1.32
V,xz,5,2.019
V,xz,4,1.891
V,xz,3,1.661
V,xz,2,1.402
V,xp,0,1.6
V,xa,0,1.56
Cr,xz,6,2.29
Cr,xz,4,1.891
Cr,xz,3,1.661
Cr,xz,2,1.402
Cr,xp,0,1.6
Cr,xa,0,1.56
Mn,xz,7,2.573
Mn,xz,6,2.383
Mn,xz,4,1.953
Mn,xz,2,1.426
Mn,xp,0,1.5
Mn,xa,0,1.6
Fe,xz,8,2.799
Fe,xz,6,2.418
Fe,xz,3,1.687
Fe,xz,2,1.438
Fe,xp,0,1.8
Fe,xa,0,1.64
Co,xz,3,1.745
Co,xz,2,1.467
Co,xp,0,1.8
Co,xa,0,1.7
Ni,xz,3,1.786
Ni,xz,2,1.502
Ni,xp,0,1.8
Ni,xa,0,1.75
Cu,xz,2,1.517
Cu,xz,1,1.233
Cu,xp,0,1.9
Cu,xa,0,1.75
Zn,xz,2,1.428
Zn,xz,1,1.247
Zn,xp,0,1.6
Zn,xa,0,1.66
Ga,xz,3,1.562
Ga,xz,1,1.123
Ga,xp,0,1.8
Ga,xa,0,2.02
Ge,xz,4,1.799
Ge,xz,2,1.38
Ge,xp,0,1.8
Ge,xa,0,2.02
As,xz,5,2.033
As,xz,3,1.623
As,xp,0,2
As,xa,0,2.2
Se,xz,6,2.289
Se,xz,4,2.873
Se,xp,0,2.4
Se,xa,0,2.48
Br,xz,7,2.529
Br,xz,5,2.11
Br,xp,0,2.8
Br,xa,0,2.74
Rb,xz,1,0.891
Rb,xp,0,0.8
Rb,xa,0,0.89
Sr,xz,2,1.004
Sr,xp,0,1
Sr,xa,0,0.99
Y,xz,3,1.209
Y,xp,0,1.2
Y,xa,0,1.11
Zr,xz,4,1.476
Zr,xz,3,1.349
Zr,xz,2,1.209
Zr,xp,0,1.4
Zr,xa,0,1.22
Nb,xz,5,1.771
Nb,xz,4,1.642
Nb,xz,3,1.476
Nb,xp,0,1.6
Nb,xa,0,1.23
Mo,xz,6,2.025
Mo,xz,4,1.805
Mo,xz,2,1.383
Mo,xp,0,1.8
Mo,xa,0,1.3
Tc,xz,7,2.312
Tc,xz,4,1.81
Tc,xz,2,1.384
Tc,xp,0,1.9
Tc,xa,0,1.36
Ru,xz,4,1.882
