material_id,formula,spacegroup,cif_path,cif_basename,pred_tm,pred_er,pred_qf,pred_tcf,pred_tm_dev,pred_er_dev,pred_qf_dev,pred_tcf_dev,lit_er,lit_qf,lit_tcf,pred_tm_note
MP_mp-3303143,Ac(BO2)3,C2/c,D:\QJC\MWDCsAI_v3\inverse_db\mp_standardized_cifs\Ac(BO2)3_C2_c_mp-3303143.cif,Ac(BO2)3_C2_c_mp-3303143.cif,,10.03787117,,,,2.477616824,,,,,,
MP_mp-3251059,AcNbO4,I4_1/a,D:\QJC\MWDCsAI_v3\inverse_db\mp_standardized_cifs\AcNbO4_I4_1_a_mp-3251059.cif,AcNbO4_I4_1_a_mp-3251059.cif,,7.751007894,44595.8230385341,-52.9719716148376,,4.113720209,1470.71343501564,4.12553002924833,,,,
MP_mp-36526,AcOF,F-43m,D:\QJC\MWDCsAI_v3\inverse_db\mp_standardized_cifs\AcOF_F-43m_mp-36526.cif,AcOF_F-43m_mp-36526.cif,,16.15483992,,,,2.422705221,,,,,,
MP_mp-759882,AgBH8C4(N2F)4,P-1,D:\QJC\MWDCsAI_v3\inverse_db\mp_standardized_cifs\AgBH8C4(N2F)4_P-1_mp-759882.cif,AgBH8C4(N2F)4_P-1_mp-759882.cif,,19.80002163,,,,1.950388415,,,,,,
MP_mp-1215103,AgH12C6N13O3,P-1,D:\QJC\MWDCsAI_v3\inverse_db\mp_standardized_cifs\AgH12C6N13O3_P-1_mp-1215103.cif,AgH12C6N13O3_P-1_mp-1215103.cif,545.0999116639306,20.53480895,,,36.08978082571893,1.95843335,,,,,,Stage1 only (missing structural features)
MP_mp-1205047,AgH36C15S3N6Cl,P-1,D:\QJC\MWDCsAI_v3\inverse_db\mp_standardized_cifs\AgH36C15S3N6Cl_P-1_mp-1205047.cif,AgH36C15S3N6Cl_P-1_mp-1205047.cif,561.260638951604,,,,41.3660852734164,,,,,,,Stage1 only (missing structural features)
MP_mp-1195948,AgHPbC2SN2O,Pnma,D:\QJC\MWDCsAI_v3\inverse_db\mp_standardized_cifs\AgHPbC2SN2O_Pnma_mp-1195948.cif,AgHPbC2SN2O_Pnma_mp-1195948.cif,556.4233018309006,16.83120783,,,42.28445382209373,2.461235765,,,,,,Stage1 only (missing structural features)
MP_mp-766293,Al11AgO17,Cmcm,D:\QJC\MWDCsAI_v3\inverse_db\mp_standardized_cifs\Al11AgO17_Cmcm_mp-766293.cif,Al11AgO17_Cmcm_mp-766293.cif,1681.3845916653972,6.246154114,,,125.37228271951314,2.340180477,,,,,,Stage2
MP_mp-758571,Al11TlO17,Ama2,D:\QJC\MWDCsAI_v3\inverse_db\mp_standardized_cifs\Al11TlO17_Ama2_mp-758571.cif,Al11TlO17_Ama2_mp-758571.cif,1517.8168859483803,6.74856467,,,150.14488275577378,3.124502545,,,,,,Stage1 only (missing structural features)
MP_mp-19521,Al2(MoO4)3,Pbcn,D:\QJC\MWDCsAI_v3\inverse_db\mp_standardized_cifs\Al2(MoO4)3_Pbcn_mp-19521.cif,Al2(MoO4)3_Pbcn_mp-19521.cif,1534.9988649949971,7.529205161,,,241.65847696684503,1.551563726,,,5.8575,57350.75,-42.52375,Stage2
MP_mp-4417,Al2(SO4)3,R-3,D:\QJC\MWDCsAI_v3\inverse_db\mp_standardized_cifs\Al2(SO4)3_R-3_mp-4417.cif,Al2(SO4)3_R-3_mp-4417.cif,1509.275803332538,5.220083637,,,255.81457110477209,0.984486507,,,,,,Stage2
MP_mp-21892,Al2PbO4,Ama2,D:\QJC\MWDCsAI_v3\inverse_db\mp_standardized_cifs\Al2PbO4_Ama2_mp-21892.cif,Al2PbO4_Ama2_mp-21892.cif,1721.2838166607978,15.08230348,,,140.948085449497,1.708811122,,,,,,Stage2
MP_mp-1019380,Al3BN4,P-43m,D:\QJC\MWDCsAI_v3\inverse_db\mp_standardized_cifs\Al3BN4_P-43m_mp-1019380.cif,Al3BN4_P-43m_mp-1019380.cif,1268.5926303182391,14.14341341,,,144.61016720809158,2.637014222,,,,,,Stage1 only (missing structural features)
MP_mp-1228406,Al4Zn3Cr2O12,C2/m,D:\QJC\MWDCsAI_v3\inverse_db\mp_standardized_cifs\Al4Zn3Cr2O12_C2_m_mp-1228406.cif,Al4Zn3Cr2O12_C2_m_mp-1228406.cif,1669.6285001315491,5.900387684,,,194.0223311497469,4.763408326,,,,,,Stage1 only (missing structural features)
MP_mp-1267554,Al8P8H34N7O36F5,P1,D:\QJC\MWDCsAI_v3\inverse_db\mp_standardized_cifs\Al8P8H34N7O36F5_P1_mp-1267554.cif,Al8P8H34N7O36F5_P1_mp-1267554.cif,,13.380593427938155,,,,2.782298196212148,,,,,,
MP_mp-1228970,Al8Zn3CoO16,P-4m2,D:\QJC\MWDCsAI_v3\inverse_db\mp_standardized_cifs\Al8Zn3CoO16_P-4m2_mp-1228970.cif,Al8Zn3CoO16_P-4m2_mp-1228970.cif,1691.1136166710974,5.890480741,,,162.84133711498814,3.206777123,,,,,,Stage2
MP_mp-1228622,Al9Cr(BO9)2,P1,D:\QJC\MWDCsAI_v3\inverse_db\mp_standardized_cifs\Al9Cr(BO9)2_P1_mp-1228622.cif,Al9Cr(BO9)2_P1_mp-1228622.cif,1524.8559966703376,6.427084794,,,169.0408996053257,2.269090193,,,,,,Stage1 only (missing structural features)
MP_mp-1008557,AlBN2,P-4m2,D:\QJC\MWDCsAI_v3\inverse_db\mp_standardized_cifs\AlBN2_P-4m2_mp-1008557.cif,AlBN2_P-4m2_mp-1008557.cif,1203.0895044976344,16.73610308,,,170.1937640559629,2.404697386,,,,,,Stage1 only (missing structural features)
MP_mp-1214833,AlBrO,Pca2_1,D:\QJC\MWDCsAI_v3\inverse_db\mp_standardized_cifs\AlBrO_Pca2_1_mp-1214833.cif,AlBrO_Pca2_1_mp-1214833.cif,1619.30387403781,18.91915069,,,190.7946535543989,2.24105884,,,,,,Stage1 only (missing structural features)
MP_mp-722527,AlH11SO10,P2_1/c,D:\QJC\MWDCsAI_v3\inverse_db\mp_standardized_cifs\AlH11SO10_P2_1_c_mp-722527.cif,AlH11SO10_P2_1_c_mp-722527.cif,1036.0320643350688,13.488445853833374,,,144.472454999411,2.350365561674626,,,,,,Stage1 only (missing structural features)
MP_mp-643387,AlH2PbO2F3,P-1,D:\QJC\MWDCsAI_v3\inverse_db\mp_standardized_cifs\AlH2PbO2F3_P-1_mp-643387.cif,AlH2PbO2F3_P-1_mp-643387.cif,,9.111002923,,,,1.562283539,,,,,,
MP_mp-24764,AlH36C12S6(ClO2)3,R-3,D:\QJC\MWDCsAI_v3\inverse_db\mp_standardized_cifs\AlH36C12S6(ClO2)3_R-3_mp-24764.cif,AlH36C12S6(ClO2)3_R-3_mp-24764.cif,867.4896971672093,19.35240285,,,132.3975114872954,2.074547513,,,,,,Stage1 only (missing structural features)
MP_mp-1214960,AlH5(SeO4)2,P2_1/c,D:\QJC\MWDCsAI_v3\inverse_db\mp_standardized_cifs\AlH5(SeO4)2_P2_1_c_mp-1214960.cif,AlH5(SeO4)2_P2_1_c_mp-1214960.cif,994.2795533353788,8.146330868,,,136.96766911809135,2.405109181,,,,,,Stage1 only (missing structural features)
MP_mp-740718,AlH6N2Cl3,Pnma,D:\QJC\MWDCsAI_v3\inverse_db\mp_standardized_cifs\AlH6N2Cl3_Pnma_mp-740718.cif,AlH6N2Cl3_Pnma_mp-740718.cif,914.2890852163572,20.476058926242462,,,118.307380016348,2.03965282325141,,,,,,Stage1 only (missing structural features)
MP_mp-1193266,AlH8C3NCl2,P-1,D:\QJC\MWDCsAI_v3\inverse_db\mp_standardized_cifs\AlH8C3NCl2_P-1_mp-1193266.cif,AlH8C3NCl2_P-1_mp-1193266.cif,885.8165256100712,20.23222804,,,111.23655132310672,2.038155147,,,,,,Stage1 only (missing structural features)
MP_mp-30930,AlI3,P2_1/c,D:\QJC\MWDCsAI_v3\inverse_db\mp_standardized_cifs\AlI3_P2_1_c_mp-30930.cif,AlI3_P2_1_c_mp-30930.cif,1196.4015816590486,21.07243234,,,415.0190557013142,2.005020791,,,,,,Stage2
MP_mp-1214877,AlNi2BO5,Pbam,D:\QJC\MWDCsAI_v3\inverse_db\mp_standardized_cifs\AlNi2BO5_Pbam_mp-1214877.cif,AlNi2BO5_Pbam_mp-1214877.cif,,6.677578869,,,,1.084415346,,,,,,
MP_mp-1197086,AlP2H18(C2Cl)3,Pnma,D:\QJC\MWDCsAI_v3\inverse_db\mp_standardized_cifs\AlP2H18(C2Cl)3_Pnma_mp-1197086.cif,AlP2H18(C2Cl)3_Pnma_mp-1197086.cif,953.4528248874882,20.426397020930263,,,116.95078639327002,2.0359642122882136,,,,,,Stage1 only (missing structural features)
MP_mp-721876,AlP2H5O9,P2_1/c,D:\QJC\MWDCsAI_v3\inverse_db\mp_standardized_cifs\AlP2H5O9_P2_1_c_mp-721876.cif,AlP2H5O9_P2_1_c_mp-721876.cif,1146.8385980047287,5.970337364,,,127.6758433599714,1.332072665,,,,,,Stage1 only (missing structural features)
MP_mp-1194217,AlP3NO10,P2/c,D:\QJC\MWDCsAI_v3\inverse_db\mp_standardized_cifs\AlP3NO10_P2_c_mp-1194217.cif,AlP3NO10_P2_c_mp-1194217.cif,895.4374104957693,4.85631267,,,241.7778233990048,2.111902233,,,,,,Stage2
MP_mp-569751,AlPH8(CCl2)2,P2_1/c,D:\QJC\MWDCsAI_v3\inverse_db\mp_standardized_cifs\AlPH8(CCl2)2_P2_1_c_mp-569751.cif,AlPH8(CCl2)2_P2_1_c_mp-569751.cif,953.4528248874882,20.42876657764264,,,116.95078639327002,2.05786318480707,,,,,,Stage1 only (missing structural features)
MP_mp-3955,AlPO4,P3_221,D:\QJC\MWDCsAI_v3\inverse_db\mp_standardized_cifs\AlPO4_P3_221_mp-3955.cif,AlPO4_P3_221_mp-3955.cif,1729.3008333327973,7.780708434,44530.7550365443,-40.8746823806763,93.41926431379368,1.807846753,1480.91418832186,4.2469791247177,4.0,,,Stage2
MP_mp-3203287,AlReMoO8,P3m1,D:\QJC\MWDCsAI_v3\inverse_db\mp_standardized_cifs\AlReMoO8_P3m1_mp-3203287.cif,AlReMoO8_P3m1_mp-3203287.cif,1364.7309534206763,4.934868446,,,188.8370441294359,2.708462549,,,,,,Stage1 only (missing structural features)
MP_mp-556418,AlSCl3O2,P-1,D:\QJC\MWDCsAI_v3\inverse_db\mp_standardized_cifs\AlSCl3O2_P-1_mp-556418.cif,AlSCl3O2_P-1_mp-556418.cif,1341.3661533351378,21.00617371,,,156.37810838410044,2.014896774,,,,,,Stage1 only (missing structural features)
MP_mp-573751,AlTeCl7,P2_1/c,D:\QJC\MWDCsAI_v3\inverse_db\mp_standardized_cifs\AlTeCl7_P2_1_c_mp-573751.cif,AlTeCl7_P2_1_c_mp-573751.cif,885.9304661500192,21.06919592,,,333.68810625138246,2.005461825,,,,,,Stage2
MP_mp-1195007,AlZnB5H16C4(N2O5)2,Pbca,D:\QJC\MWDCsAI_v3\inverse_db\mp_standardized_cifs\AlZnB5H16C4(N2O5)2_Pbca_mp-1195007.cif,AlZnB5H16C4(N2O5)2_Pbca_mp-1195007.cif,928.7917646704492,,,,113.60347210519704,,,,,,,Stage1 only (missing structural features)
MP_mp-758957,As2HPbF13,Pbcn,D:\QJC\MWDCsAI_v3\inverse_db\mp_standardized_cifs\As2HPbF13_Pbcn_mp-758957.cif,As2HPbF13_Pbcn_mp-758957.cif,,8.374992398322341,,,,3.351666926474345,,,,,,
MP_mp-1202563,As2PHBr3F11,P2_1/m,D:\QJC\MWDCsAI_v3\inverse_db\mp_standardized_cifs\As2PHBr3F11_P2_1_m_mp-1202563.cif,As2PHBr3F11_P2_1_m_mp-1202563.cif,,18.70117701,,,,2.210170422,,,,,,
MP_mp-27230,As2SO6,P2_12_12,D:\QJC\MWDCsAI_v3\inverse_db\mp_standardized_cifs\As2SO6_P2_12_12_mp-27230.cif,As2SO6_P2_12_12_mp-27230.cif,728.2931236614302,3.977955058,,,113.85883948538064,3.187524064,,,,,,Stage2
