vm,sp,d,p,ppv,vcm,vi,vcar,pfi,enm,mcm,blm,blsdm,rcm,pcm,cvm,cvsdm,cvdm,bvsm,S,Sm,Ssdm,Qf
79.14,15,6.318700742,16.802356,0.212311802,3.413908336,49.91813535,0.158453613,0.630757333,1.52087,118.519855,2.2667625,0.17873335,0.87501,4.300278,0.250175367,0.124216379,0.388055669,3.9849036,8.135504727,0.606535773,0.213006019,32200.0
78.7775,15,6.303354616,16.73736,0.212463711,3.380035504,49.85038968,0.156881435,0.632799844,1.52024,117.466518,2.251329167,0.166836145,0.8727,4.26778,0.318163743,0.202642888,0.40889327,4.298245107,8.771158302,0.672344262,0.280462783,38700.0
78.94,15,6.3562721,16.73501,0.21199658,3.371816319,49.83395131,0.156499948,0.63128897,1.521725,119.0322,2.260479167,0.210948744,0.87225,4.266605,0.315451982,0.195061559,0.413272359,4.302271524,8.777072646,0.670465164,0.297341584,33200.0
77.525,88,6.210630586,15.4913,0.199823283,3.079256227,48.30538155,0.146120283,0.623094248,1.5761,112.92642,2.125825,0.042486578,0.7726,3.53265,0.561948671,0.022766749,0.437204883,4.182374638,8.536484517,0.944372407,0.038571525,60200.0
78.75,88,6.123161314,16.41112,0.208395175,3.233917114,48.61470332,0.153459423,0.617329566,1.5544,113.143085,2.13755,0.039691291,0.78995,3.99256,0.530135712,0.035018792,0.439369773,4.205597413,8.48312185,0.921993037,0.061275136,49800.0
71.50027975,141,6.226572297,12.7808,0.178751748,2.0118437,46.17055649,0.09546824,0.645739522,1.7,102.0069,1.9452675,0.034062445,0.5775,2.1774,0.45404507,0.013271189,0.454332941,3.915450177,7.97907704,0.818648767,0.031045936,71649.0
78.1599615,88,6.348611867,16.04449,0.205277609,3.202784043,48.55243718,0.151982062,0.621193207,1.61995,117.359585,2.1175525,0.042764471,0.76775,3.809245,0.602150013,0.153618758,0.451420448,4.268942553,8.849742894,0.97905907,0.173725168,16730.0
78.85,15,6.36726869,16.7336,0.212220672,3.370380439,49.83107955,0.156433303,0.631973108,1.52276,119.121,2.278805417,0.324105643,0.87204,4.2659,0.57191902,0.558908962,0.519895608,5.258411266,11.08138972,0.866192264,0.612684527,60730.0
82.4,141,5.380590185,15.449,0.187487864,2.630757854,47.4083848,0.124837641,0.575344476,1.6045,101.45275,2.0753475,0.02978092,0.7105,3.5115,0.395399184,0.012245996,0.418304597,4.062048518,7.958632138,0.806614421,0.027806593,46860.0
63.7911215,13,7.982109354,13.5297,0.212093779,1.140416963,44.42770302,0.054116331,0.696455901,1.817,121.2667,1.995833333,0.08639615,0.645,2.55185,0.292338054,0.139571594,0.42751352,3.972122544,7.651626408,0.637635534,0.189433047,25517.26
69.527,13,6.040324113,14.98037,0.215461188,1.364247059,44.87536321,0.064737765,0.645437934,1.6225,94.41085,2.058333333,0.126211449,0.685,3.277185,0.287359589,0.127361156,0.419269465,3.989227837,7.982056794,0.665171399,0.218406191,79017.0
78.4375,15,6.260366428,16.65975,0.212395219,3.34160149,49.77352165,0.155097553,0.634562826,1.51835,115.806495,2.2463,0.196806136,0.87,4.228975,0.375254357,0.235613816,0.427318373,4.614656064,9.416334839,0.730726805,0.327268785,53300.0
69.6554,13,6.869028821,14.81281,0.212658459,1.364247059,44.87536321,0.064737765,0.644248159,1.6445,112.01915,2.048,0.118821398,0.685,3.193405,0.290327249,0.125482052,0.422994722,4.059068085,8.089200035,0.674100003,0.21317688,81064.0
77.425,88,6.239407765,15.6445,0.202060058,3.070062433,48.28699396,0.145684009,0.62366153,1.57315,113.41013,2.1249,0.042590593,0.7739,3.60925,0.562946969,0.026716364,0.438974251,4.206488666,8.580754431,0.947085734,0.043909599,57400.0
78.79,88,6.090171148,15.214068,0.193096434,3.122585881,48.39204086,0.14817641,0.614190137,1.58172,112.43442,2.159225,0.003661479,0.7714,3.394034,0.210542562,0.006917868,0.345301677,3.185404183,5.834795405,0.559280056,0.014486152,76840.0
77.0,88,6.219750076,15.38927,0.199860649,3.120356031,48.38758116,0.148070597,0.628410145,1.5774,112.1563475,2.121025,0.047829287,0.773325,3.481635,0.582800227,0.02201596,0.44265718,4.253944989,8.706168261,0.964941672,0.039897804,71500.0
