Formula,vm,p,enm,Qf
(Nd0.98La0.02)NbO4,79.14,16.802356,1.52087,32200.0
(Nd0.96Y0.04)NbO4,78.7775,16.73736,1.52024,38700.0
(Nd0.85Sm0.15)NbO4,78.94,16.73501,1.521725,33200.0
(Ca0.9Sm0.1)(W0.9Nb0.1)O4,77.525,15.4913,1.5761,60200.0
(Ca0.7La0.3)(W0.7Nb0.3)O4,78.75,16.41112,1.5544,49800.0
YbPO4,71.50027975,12.7808,1.7,71649.0
(Ca0.7Bi0.3)(W0.7V0.3)O4,78.1599615,16.04449,1.61995,16730.0
(Nd0.94Dy0.06)NbO4,78.85,16.7336,1.52276,60730.0
EuVO4,82.4,15.449,1.6045,46860.0
NiWO4,63.7911215,13.5297,1.817,25517.26
(Zn0.5Zr0.5)(Nb0.8Ta0.2)O4,69.527,14.98037,1.6225,79017.0
(Nd0.9Y0.1)NbO4,78.4375,16.65975,1.51835,53300.0
(Zn0.5Zr0.5)(Nb0.4Ta0.6)O4,69.6554,14.81281,1.6445,81064.0
(Ca0.85Sm0.15)(W0.85Nb0.15)O4,77.425,15.6445,1.57315,57400.0
(Ca0.98Sr0.02)WO4,78.79,15.214068,1.58172,76840.0
(Ca0.95La0.05)(W0.95Nb0.05)O4,77.0,15.38927,1.5774,71500.0
