Formula,sp,pm,cvd,bvs,TCF
(Zn0.48Mn0.02Zr0.5)NbO4,13.0,15.054948,0.411526151,3.860860928,-19.0
CdMoO4,88.0,16.3263,0.477842186,3.84197577,-57.0
Sm(Nb0.31Si0.345Mo0.345)O4,88.0,16.4329235,0.44514125,4.101442749,-38.2
(Ca0.85Nd0.15)(W0.85Nb0.15)O4,88.0,15.69859,0.445392178,4.275472403,-22.36
(Mg0.5Zr0.5)(Nb0.94Ta0.06)O4,13.0,14.915816,0.411931101,3.842974049,-50.49
YPO4,141.0,12.8004,0.462023631,4.038404407,-35.3
(Ca0.98Sr0.02)WO4,88.0,15.214068,0.345301677,3.185404183,-22.3
Nd(Nb0.92Sb0.08)O4,15.0,16.731388,0.396839157,4.028205704,-23.1
(Ni0.5Zn0.25Zr0.25)(W0.5Nb0.5)O4,13.0,14.296925,0.434686201,3.781139807,-34.8
(Ca0.2Cd0.8)MoO4,88.0,16.30908,0.449586519,3.698281834,-50.0
(Zn0.46Ni0.04Zr0.5)NbO4,13.0,15.05101,0.425046001,3.899785655,-9.72
